,Natural,SQL
35,List all the conference which has beeen conducted in the field with ID 'F-11',SELECT DISTINCT ConfID_FieldID.ConfID FROM ConfID_FieldID WHERE ConfID_FieldID.FieldID='F-11';
36,What is the Field ID in which the conference with ID 'C-567' is conducted?,SELECT DISTINCT ConfID_FieldID.FieldID FROM ConfID_FieldID WHERE ConfID_FieldID.ConfID='C-567';
37,List all the venues where the papers are presented,SELECT DISTINCT ConfID_Venue_Year.Venue FROM ConfID_Venue_Year;
38,How many total conferences have been held at 'Workshop on Prepositions'?,SELECT DISTINCT COUNT(*) FROM ConfID_Venue_Year WHERE ConfID_Venue_Year.Venue='Workshop on Prepositions';
39,How many total conferences are held in the year 1986?,SELECT DISTINCT COUNT(*) FROM ConfID_Venue_Year WHERE ConfID_Venue_Year.Year=1986;
40,What is the venue for the conference with the ID 'C-136'?,SELECT DISTINCT ConfID_Venue_Year.Venue FROM ConfID_Venue_Year WHERE ConfID_Venue_Year.ConfID='C-136';
41,How many conferences held before 1996?,SELECT DISTINCT COUNT(*) FROM ConfID_Venue_Year WHERE Year<1996;
42,How many conferences held after 1992?,SELECT DISTINCT COUNT(*) FROM ConfID_Venue_Year WHERE Year>1992;
43,Which conference was held at 'Workshop On Asian Language Resources And International Standardization' and in 1965?,SELECT DISTINCT ConfID_Venue_Year.ConfID FROM ConfID_Venue_Year WHERE ConfID_Venue_Year.Venue=Workshop On Asian Language Resources And International Standardization AND ConfID_Venue_Year.Year=1965;
44,List all the field IDs.,SELECT DISTINCT FieldID_Topic.FieldID FROM FieldID_Topic;
45,List all the topics.,SELECT DISTINCT FieldID_Topic.Topic FROM FieldID_Topic;
46,What is the field ID for the topic 'Sentiment Analysis'?,SELECT DISTINCT FieldID_Topic.FieldID FROM FieldID_Topic WHERE FieldID_Topic.Topic='Sentiment Analysis';
47,Name the topic corresponding to the Field ID 'F-7'.,SELECT DISTINCT FieldID_Topic.Topic FROM FieldID_Topic WHERE FieldID_Topic.FieldID='F-7';
48,How many topics are there?,SELECT DISTINCT COUNT(*) FROM FieldID_Topic;
49,How many total papers are published?,SELECT DISTINCT COUNT(*) FROM KeywordID_PaperID;
50,How many unique keyword IDs are present?,SELECT DISTINCT COUNT(DISTINCT KeywordID_PaperID.KeywordID) FROM KeywordID_PaperID;
51,Which papers have the keyword ID as K-7325?,SELECT DISTINCT KeywordID_PaperID.PaperID FROM KeywordID_PaperID WHERE KeywordID_PaperID.KeywordID=K-7325;
52,"List all the affiliation of the author 'Masuyama, Shigeru'.","SELECT DISTINCT AffiliationID_Place_Affiliation.Affiliate FROM AuthID_AffiliationID JOIN AuthID_Name ON AuthID_AffiliationID.AuthID=AuthID_Name.AuthID) JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID WHERE AuthID_Name.Name='Masuyama, Shigeru';"
53,List all the authors of the affiliate 'Lopresti'.,SELECT DISTINCT AuthID_Name.Name FROM AuthID_AffiliationID JOIN AuthID_Name ON AuthID_AffiliationID.AuthID=AuthID_Name.AuthID JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID WHERE AffiliationID_Place_Affiliation.Affiliate='Lopresti';
54,List all the authors from Shihding Taiwan,SELECT DISTINCT AuthID_Name.Name FROM AuthID_AffiliationID JOIN AuthID_Name ON AuthID_AffiliationID.AuthID=AuthID_Name.AuthID JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID WHERE AffiliationID_Place_Affiliation.Place='Shihding Taiwan';
55,"Which place is author 'Mungi, Ashish' from?","SELECT DISTINCT AffiliationID_Place_Affiliation.Place FROM AuthID_AffiliationID JOIN AuthID_Name ON AuthID_AffiliationID.AuthID=AuthID_Name.AuthID JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID WHERE AuthID_Name.Name='Mungi, Ashish';"
56,How many authors are from Clayton Australia?,SELECT DISTINCT COUNT(DISTINCT AuthID_Name.Name) FROM AuthID_AffiliationID JOIN AuthID_Name ON AuthID_AffiliationID.AuthID=AuthID_Name.AuthID JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID WHERE AffiliationID_Place_Affiliation.Place='Clayton Australia';
57,What are the fields does the affiliate 'Telecom Bretagne' work on?,SELECT DISTINCT FieldID_Topic.Topic FROM AuthID_AffiliationID JOIN AuthID_FieldID ON AuthID_AffiliationID.AuthID=AuthID_FieldID.AuthID JOIN FieldID_Topic ON AuthID_FieldID.FieldID=FieldID_Topic.FieldID JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID WHERE AffiliationID_Place_Affiliation.Affiliate='Telecom Bretagne';
58,List the affiliates which work on the field 'Sentiment Analysis',SELECT DISTINCT AffiliationID_Place_Affiliation.Affiliate FROM AuthID_AffiliationID JOIN AuthID_FieldID ON AuthID_AffiliationID.AuthID=AuthID_FieldID.AuthID JOIN FieldID_Topic ON AuthID_FieldID.FieldID=FieldID_Topic.FieldID JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID WHERE FieldID_Topic.Topic='Sentiment Analysis';
59,What are the fields does the affiliates in the place Villanova PA work on?,SELECT DISTINCT FieldID_Topic.Topic FROM AuthID_AffiliationID JOIN AuthID_FieldID ON AuthID_AffiliationID.AuthID=AuthID_FieldID.AuthID JOIN FieldID_Topic ON AuthID_FieldID.FieldID=FieldID_Topic.FieldID JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID WHERE AffiliationID_Place_Affiliation.Place='Villanova PA';
60,List the author from affiliate 'Chonnam National University' who work on the field 'Dialogue and Discourse',SELECT DISTINCT AuthID_Name.Name FROM AuthID_AffiliationID JOIN AuthID_FieldID ON AuthID_AffiliationID.AuthID=AuthID_FieldID.AuthID JOIN FieldID_Topic ON AuthID_FieldID.FieldID=FieldID_Topic.FieldID JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID JOIN AuthID_Name ON AuthID_Name.AuthID=AuthID_AffiliationID.AuthID)WHERE FieldID_Topic.Topic='Dialogue and Discourse' AND AffiliationID_Place_Affiliation.Affiliate='Chonnam National University';
61,List the authors who on the field 'Dialogue and Discourse' and are from affiliate 'Emory University',SELECT DISTINCT AuthID_Name.Name FROM AuthID_AffiliationID JOIN AuthID_FieldID ON AuthID_AffiliationID.AuthID=AuthID_FieldID.AuthID JOIN FieldID_Topic ON AuthID_FieldID.FieldID=FieldID_Topic.FieldID JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID JOIN AuthID_Name ON AuthID_Name.AuthID=AuthID_AffiliationID.AuthID WHERE FieldID_Topic.Topic='Dialogue and Discourse' AND AffiliationID_Place_Affiliation.Affiliate='Emory University';
62,List the authors who on the field 'Dialogue and Discourse' and are from affiliate in the place Erlangen Germany,SELECT DISTINCT AuthID_Name.Name FROM AuthID_AffiliationID JOIN AuthID_FieldID ON AuthID_AffiliationID.AuthID=AuthID_FieldID.AuthID JOIN FieldID_Topic ON AuthID_FieldID.FieldID=FieldID_Topic.FieldID JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID JOIN AuthID_Name ON AuthID_Name.AuthID=AuthID_AffiliationID.AuthID WHERE FieldID_Topic.Topic='Dialogue and Discourse' AND AffiliationID_Place_Affiliation.Place='Erlangen Germany';
63,List the title of the papers published by the author with the Author ID 'A-992'.,SELECT DISTINCT PaperID_Title.Title FROM PaperID_AuthID JOIN PaperID_Title ON PaperID_Title.PaperID=PaperID_AuthID.PaperID WHERE PaperID_AuthID.AuthID='A-992'
64,"List the title of the papers published by 'Young, Katherine'.","SELECT DISTINCT PaperID_Title.Title FROM AuthID_Name JOIN PaperID_AuthID ON AuthID_Name.AuthID=PaperID_AuthID.AuthID JOIN PaperID_Title ON PaperID_Title.PaperID=PaperID_AuthID.PaperID WHERE AuthID_Name.Name='Young, Katherine'"
65,"How many papers were published by 'Jarvis, Scott'?","SELECT DISTINCT COUNT(*) FROM AuthID_Name JOIN PaperID_AuthID ON AuthID_Name.AuthID=PaperID_AuthID.AuthID JOIN PaperID_Title ON PaperID_Title.PaperID=PaperID_AuthID.PaperID WHERE AuthID_Name.Name='Jarvis, Scott'"
66,What is the name of the author who published the paper with paper ID 'C04-1122'?,SELECT DISTINCT AuthID_Name.Name FROM AuthID_Name JOIN PaperID_AuthID ON AuthID_Name.AuthID=PaperID_AuthID.AuthID WHERE PaperID_AuthID.PaperID='C04-1122'
67,List the name of the authors working in the field with field ID 'F-1'.,SELECT DISTINCT AuthID_Name.Name FROM AuthID_FieldID JOIN AuthID_Name ON AuthID_FieldID.AuthID=AuthID_Name.AuthID WHERE AuthID_FieldID.FieldID='F-1'
68,"List the field IDs of the papers published by 'Lagoutte, Aurelie'.","SELECT DISTINCT AuthID_FieldID.FieldID FROM AuthID_FieldID JOIN AuthID_Name ON AuthID_FieldID.AuthID=AuthID_Name.AuthID WHERE AuthID_Name.Name='Lagoutte, Aurelie'"
69,"Which field topics do the papers published by 'Gropp, Martin' belong to?","SELECT DISTINCT FieldID_Topic.Topic FROM FieldID_Topic JOIN AuthID_FieldID ON FieldID_Topic.FieldID=AuthID_FieldID.FieldID JOIN AuthID_Name ON AuthID_FieldID.AuthID=AuthID_Name.AuthID WHERE AuthID_Name.Name='Gropp, Martin'"
70,List the title of the papers that come under the field topic 'Natural Language Processing'.,SELECT DISTINCT PaperID_Title.Title FROM PaperID_Title JOIN PaperID_AuthID ON PaperID_Title.PaperID=PaperID_AuthID.PaperID JOIN AuthID_FieldID ON PaperID_AuthID.AuthID=AuthID_FieldID.AuthID JOIN FieldID_Topic ON FieldID_Topic.FieldID=AuthID_FieldID.FieldID WHERE FieldID_Topic.Topic='Natural Language Processing'
71,How many papers are published under the topic 'Lexical Acquisition'?,SELECT DISTINCT COUNT(*) FROM PaperID_Title JOIN PaperID_AuthID ON PaperID_Title.PaperID=PaperID_AuthID.PaperID JOIN AuthID_FieldID ON PaperID_AuthID.AuthID=AuthID_FieldID.AuthID JOIN FieldID_Topic ON FieldID_Topic.FieldID=AuthID_FieldID.FieldID WHERE FieldID_Topic.Topic='Lexical Acquisition'
72,How many authors have published under the topic 'Sentiment Analysis'?,SELECT DISTINCT COUNT(*) FROM AuthID_FieldID JOIN AuthID_Name ON AuthID_FieldID.AuthID=AuthID_Name.AuthID WHERE AuthID_FieldID.FieldID='Sentiment Analysis'
73,List the title of the papers that come under the field with field ID 'F-12'.,SELECT DISTINCT PaperID_Title.Title FROM PaperID_Title JOIN PaperID_AuthID ON PaperID_Title.PaperID=PaperID_AuthID.PaperID JOIN AuthID_FieldID ON PaperID_AuthID.AuthID=AuthID_FieldID.AuthID WHERE AuthID_FieldID.FieldID='F-12'
74,How many papers have been published under the field ID 'F-5'?,SELECT DISTINCT COUNT(*) FROM PaperID_Title JOIN PaperID_AuthID ON PaperID_Title.PaperID=PaperID_AuthID.PaperID JOIN AuthID_FieldID ON PaperID_AuthID.AuthID=AuthID_FieldID.AuthID WHERE AuthID_FieldID.FieldID='F-5'
75,List the name of the authors of papers with the field ID 'F-9'.,SELECT DISTINCT(AuthID_Name.Name) FROM AuthID_Name JOIN PaperID_AuthID ON AuthID_Name.AuthID=PaperID_AuthID.AuthID JOIN AuthID_FieldID ON PaperID_AuthID.AuthID=AuthID_FieldID.AuthID WHERE AuthID_FieldID.FieldID='F-9'
76,List the field topics that the paper with the ID 'W07-1425'.,SELECT DISTINCT FieldID_Topic.Topic FROM PaperID_AuthID JOIN AuthID_FieldID ON PaperID_AuthID.AuthID=AuthID_FieldID.AuthID JOIN FieldID_Topic ON AuthID_FieldID.FieldID=FieldID_Topic.FieldID WHERE PaperID='W07-1425'
77,List the Paper IDs that fall under the field ID 'F-3'.,SELECT DISTINCT PaperID_AuthID.PaperID FROM PaperID_AuthID JOIN AuthID_FieldID ON PaperID_AuthID.AuthID=AuthID_FieldID.AuthID WHERE AuthID_FieldID.FieldID='F-3'
78,How many papers are published in the field with field ID 'F-3'?,SELECT DISTINCT COUNT(*) FROM PaperID_AuthID JOIN AuthID_FieldID ON PaperID_AuthID.AuthID=AuthID_FieldID.AuthID WHERE AuthID_FieldID.FieldID='F-3'
79,Who wrote the paper with the title 'Native Language Identification using large scale lexical features'?,SELECT DISTINCT AuthID_Name.Name FROM AuthID_Name JOIN PaperID_AuthID ON PaperID_AuthID.AuthID=AuthID_Name.AuthID JOIN PaperID_Title on PaperID_AuthID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title='Native Language Identification using large scale lexical features'
80,No of years in which conferneces on field 'Dependency Parsing' were held.,SELECT DISTINCT COUNT(*) FROM ConfID_Venue_Year JOIN ConfID_FieldID ON ConfID_Venue_Year.ConfID=ConfID_FieldID.ConfID JOIN FieldID_Topic ON ConfID_FieldID.FieldID=FieldID_Topic.FieldID Where FieldID_Topic.Topic = 'Dependency Parsing'
81,list all the papers published in conference with ConfID 'C-450',SELECT DISTINCT PaperID_Title.PaperID FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.ConfID= 'C-450' 
82,No of papers published in conference with ConfID 'C-72',SELECT DISTINCT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.ConfID = C-72 
83,Count papers published in conferences at venue 'Proceedings of the 4th Workshop on Cross Lingual Information Access',SELECT DISTINCT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Venue = 'Proceedings of the 4th Workshop on Cross Lingual Information Access'
84,Field corresponding to conference 'C-430',SELECT DISTINCT FieldID_Topic.Topic FROM FieldID_Topic JOIN ConfID_FieldID ON ConfID_FieldID.FieldID=FieldID_Topic.FieldID WHERE ConfID='C-430' 
85,List all the papers released in year 1980,SELECT DISTINCT PaperID_Title.PaperID FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year='1980' 
86,No of papers released in year 2011,SELECT DISTINCT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year='2011' 
87,list all the papers published in conferences at venue 'Proceedings of the Workshop on Current Trends in Biomedical Natural Language Processing' in year 1965,SELECT DISTINCT PaperID_Title.PaperID FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Venue='Proceedings of the Workshop on Current Trends in Biomedical Natural Language Processing' AND ConfID_Venue_Year.Year='1965'
88,No of papers published in conferences at venue 'Workshop On New Text Wikis And Blogs And Other Dynamic Text Sources' in year 1965,SELECT DISTINCT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Venue='Workshop On New Text Wikis And Blogs And Other Dynamic Text Sources' AND ConfID_Venue_Year.Year='1965'
89,Who wrote the paper with the title 'Analogical Dialogue Acts: Supporting Learning by Reading Analogies'?,SELECT DISTINCT AuthID_Name.Name FROM AuthID_Name JOIN PaperID_AuthID ON PaperID_AuthID.AuthID=AuthID_Name.AuthID JOIN PaperID_Title on PaperID_AuthID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title='Analogical Dialogue Acts: Supporting Learning by Reading Analogies'
90,How many authors wrote the paper with the title 'Authorship Attribution of Micro-Messages',SELECT DISTINCT COUNT(*) FROM AuthID_Name JOIN PaperID_AuthID ON PaperID_AuthID.AuthID=AuthID_Name.AuthID JOIN PaperID_Title on PaperID_AuthID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title='Authorship Attribution of Micro-Messages'
91,List the field topics of paper with the title 'Type-checking in Formally Non-typed Systems',SELECT DISTINCT FieldID_Topic.Topic FROM FieldID_Topic JOIN PaperID_FieldID ON FieldID_Topic.FieldID=PaperID_FieldID.FieldID JOIN PaperID_Title on PaperID_FieldID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title='Type-checking in Formally Non-typed Systems'
92,How many fields of the paper with the title 'Sub-Sentential Alignment Using Substring Co-Occurrence Counts',SELECT DISTINCT COUNT(*) FROM FieldID_Topic JOIN PaperID_FieldID ON FieldID_Topic.FieldID=PaperID_FieldID.FieldID JOIN PaperID_Title on PaperID_FieldID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title='Sub-Sentential Alignment Using Substring Co-Occurrence Counts'
93,How many papers were published on and after an year 2004,SELECT DISTINCT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year='2004'
94,List the papers published on and after an year 1978,SELECT DISTINCT PaperID_Title.Title FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year >= '1978'
95,List the papers published in year 1996,SELECT DISTINCT PaperID_Title.Title FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year='1996'
96,How many papers were published in the year 1983,SELECT DISTINCT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year='1983'
97,Give ConfID of the paper with paper ID equals 'C00-1022',SELECT DISTINCT ConfID_Venue_Year.ConfID FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_PaperID.ConfID=ConfID_Venue_Year.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.PaperID='C00-1022'
98,When was the paper with paper ID equals 'W08-0618' published?,SELECT DISTINCT ConfID_Venue_Year.Year FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_PaperID.ConfID=ConfID_Venue_Year.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.PaperID='W08-0618'
99,Where was the paper with paper ID equals 'C02-2006' published?,SELECT DISTINCT ConfID_Venue_Year.Venue FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_PaperID.ConfID=ConfID_Venue_Year.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.PaperID='C02-2006'
100,When was the paper 'Exploring Affect-Context Dependencies for Adaptive System Development' published?,SELECT DISTINCT ConfID_Venue_Year.Year FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_PaperID.ConfID=ConfID_Venue_Year.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title='Exploring Affect-Context Dependencies for Adaptive System Development'
101,Where was the paper 'Review of Hypothesis Alignment Algorithms for MT System Combination via Confusion Network Decoding' published,SELECT DISTINCT ConfID_Venue_Year.Venue FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_PaperID.ConfID=ConfID_Venue_Year.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title='Review of Hypothesis Alignment Algorithms for MT System Combination via Confusion Network Decoding'
102,Give ConfID of the paper 'Automatic Construction Of An English-Chinese Bilingual FrameNet',SELECT DISTINCT ConfID_Venue_Year.ConfID FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_PaperID.ConfID=ConfID_Venue_Year.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title='Automatic Construction Of An English-Chinese Bilingual FrameNet'
103,List the papers published in the year 2010 at 'Proceedings of the EACL 2009 Workshop on Computational Approaches to Semitic Languages',SELECT DISTINCT PaperID_Title.Title FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year='2010' AND ConfID_Venue_Year.Venue='Proceedings of the EACL 2009 Workshop on Computational Approaches to Semitic Languages'
104,How many papers were published in the year 1973 at 'CogALex',SELECT DISTINCT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year='1973' AND ConfID_Venue_Year.Venue='CogALex'
