Name,AuthID
"Abdul, Mujibur",A-5521
"AbdulMageed, Muhammad",A-17113
"AbdulRauf, Sadaf",A-6778
"AbdulWahab, Mohamed",A-14480
"Abdulrahim, Dana",A-14188
"Abe, Akinori",A-7051
"Abe, Masahiro",A-2542
"Abe, Naoki",A-13971
"Abe, Norihiro",A-12527
"Abe, Shuya",A-3768
"Abe, Yasunori",A-14332
"Abe, Yoshiharu",A-14680
"Abeel, Thomas",A-9964
"Abeille, Anne",A-15559
"Abekawa, Takeshi",A-15140
"Abel, Andrea",A-8867
"Abella, Alicia",A-18583
"Abelson, Robert P",A-13775
"Abend, Omri",A-2365
"Aberdeen, John",A-7918
"Abeysinghe, Geetha",A-17841
"Abney, Steven",A-3938
"Abney, Steven P",A-16520
"Abolhassani Chime, Zahra",A-13377
"Abolhassani, Hassan",A-5382
"Abouenour, Lahsen",A-12309
"Aboutajdine, Driss",A-2968
"Abouzakhar, Nasser",A-537
"Abowd, Gregory",A-5491
"Abracos, Jose",A-7161
"Abraham, Maryvonne",A-14760
"Abraham, S",A-12567
"Abrahamsson, Emil",A-14309
"Abramowicz, Witold",A-13061
"Abramson, Harvey",A-5409
"Abramson, Martha",A-12031
"Abrash, Victor",A-1394
"Abreu, Jose I",A-1301
"Abreu, JosAAc I",A-10180
"Abrusci, V Michele",A-2194
"Abu Shawar, Bayan",A-15297
"AbuJbara, Amjad",A-3228
"AbuSalem, Hani",A-17656
"Abuhakema, Ghazi",A-4415
"Abuleil, Saleem",A-4398
"Acarturk, Cengiz",A-13100
"Acedanacuteski, Szymon",A-1957
"Acero, Alex",A-9490
"Acero, Alex Alejandro",A-2553
"Achanauparp, Palakorn",A-8592
"Acharya, Sudipta",A-11102
"Achour, Hadhemi",A-4652
"Ackerman, Christopher",A-16282
"Ackermans, Paul",A-6597
"Acomb, Kate",A-4728
"Acosta, Jaime",A-14357
"Acosta, Olga",A-10623
"Acosta, Otavio",A-10936
"AcquaahMensah, George",A-5758
"Acree, Brice D L",A-2784
"Acs, Judit",A-11713
"Adachi, Fumihiro",A-12741
"Adachi, Hisahiro",A-16278
Adali Kbra,A-19121
"Adali, Esref",A-13451
"Adali, KAA  bra",A-12333
"AdalAA, EAA,ref",A-2083
Adam Cleacutementine,A-18872
Adam Clmentine,A-18873
"Adam, Carole",A-4190
"Adam, ClAAcmentine",A-16264
"Adams, Brian",A-11772
"Adams, Gary",A-7963
"Adams, Jeff",A-6808
"Adams, Keith",A-578
"Adams, Maria",A-8895
"Adams, Oliver",A-4417
"Adams, Rod",A-15550
"Adamson, David",A-12307
"Adcock, John E",A-4825
"Adda, Gilles",A-16518
"AddaDecker, Martine",A-12787
"Addanki, Karteek",A-4993
"Adderley, Richard",A-15594
"Addison, Edwin",A-16252
"Adegbola, Tunde",A-11557
"Adel, Heike",A-7329
"Adell, Jordi",A-13242
"Adhikari, Ronojoy",A-8123
"Adjogah, Richard",A-14928
"Adler, Meni",A-4001
"Adolphs, Peter",A-6305
"Adolphs, Svenja",A-6509
"Adorni, Giovanni",A-11851
"Adreevskaia, Alina",A-7262
"Adriaans, Pieter",A-6475
"Adriaens, Geert",A-15481
"Aduriz, Itziar",A-18738
Aepli Nomi,A-19155
"Aepli, NoAAmi",A-3289
"Afantenos, Stergos",A-5497
"Afendras, Evangelos A",A-11226
"Afify, Mohamed",A-17369
"Afli, Haithem",A-7976
"Afzal, Naveed",A-12684
"Agarwal, Abhaya",A-535
"Agarwal, Ankit",A-1159
"Agarwal, Apoorv",A-12875
"Agarwal, Basant",A-5730
"Agarwal, Deepak",A-10543
"Agarwal, Manish",A-17327
"Agarwal, Nitin",A-14037
"Agarwal, Rajeev",A-8289
"Agarwal, Sachin",A-4011
"Agarwalla, Lalit",A-16926
"Agbago, Akakpo",A-17982
"Ageev, Mikhail",A-3635
"Ageno, Alicia",A-11573
"Agerri, R",A-13095
"Agerri, Rodrigo",A-12792
"Aggarwal, Nitish",A-3906
"Aggarwal, R K",A-16007
"Aggarwal, RK",A-8673
Agi eljko,A-18816
"Agichtein, Eugene",A-10735
"Agili, Andrea",A-18217
"Agirre, Eneko",A-15348
"Agirrezabal, Manex",A-17518
"AgiAa, AA  eljko",A-14854
"Agrawal, Ameeta",A-10805
"Agrawal, Saumya",A-6198
"Agrawal, Siddharth",A-5125
"Agren, Malin",A-9745
"Aguado de Cea, Guadalupe",A-10195
"Aguiar, Pedro",A-10743
"Aguilar, Cesar",A-8389
"Aguilar, Jacqueline",A-7303
"Aguilar, Jacqui",A-9816
"Aguilera Navarro, Santiago",A-15276
"Agustini, Alexandre",A-7382
"AhPine, Julien",A-18282
"Aha, David W",A-455
"Aharodnik, Katsiaryna",A-182
"Aharoni, Ehud",A-6253
"Aharoni, Roee",A-13683
"Aharonson, Vered",A-6485
"Ahat, Murat",A-7500
"Ahlberg, Malin",A-6820
"Ahlsen, Elisabeth",A-15911
"Ahlswede, Thomas E",A-306
"Ahmad, Faisal",A-10801
"Ahmad, Farooq",A-1831
"Ahmad, Khurshid",A-8532
"Ahmed, Amr",A-13760
"Ahmed, Mobyen Uddin",A-5307
"Ahmed, Syed Toufeeq",A-17090
"Ahmed, Tafseer",A-15846
"Ahmed, Zeeshan",A-13421
"Ahmidi, Narges",A-18405
"Ahn, ByungGyu",A-6553
"Ahn, David",A-9592
"Ahn, JungHo",A-2247
"Ahn, Kisuh",A-8485
"AhonenMyka, Helana",A-13954
"Ahrenberg, Lars",A-2226
"Ahrens, Kathleen",A-2959
"Ahuja, Arun",A-6169
"Ai, Hua",A-2114
"Aiden Lieberman, Erez",A-12304
"Aidinejad, Homa",A-6809
"Aihara, Ryo",A-987
"Aijaz, Adil",A-18634
"Aikawa, Kiyoaki",A-14049
"Aikawa, Takako",A-5604
"Ailloud, Eacutetienne",A-12950
"Ailomaa, Marita",A-10557
"Aimetti, Guillaume",A-16303
"Ainon, Raja Noor",A-4129
"Airola, Antti",A-18541
"Aiso, Hideo",A-5510
"Aist, Gregory",A-15335
"AitMokhtar, Salah",A-8518
"Aizawa, Akiko",A-3280
"Aizawa, Akiko N",A-18786
"Aizawa, Teruaki",A-7952
"Aizono, Toshiko",A-1533
"Ajani, Gianmaria",A-16276
"Aji, Ablimit",A-11546
"Ajot, Jerome",A-7654
"Akxn, Ahmet Afscedilxn",A-4584
"Akabe, Koichi",A-12798
"Akama, Hiroyuki",A-6450
"Akama, Seiki",A-15188
"Akamine, Susumu",A-5481
"Akbar, Mohammad",A-5217
"Akbik, Alan",A-12417
"Akegawa, Naoki",A-1641
"Aker, Ahmet",A-17428
"Akerberg, Ola",A-12540
"Akhmatova, Elena",A-18726
"Akhmedova, Shakhnaz",A-10362
"Akhtar, Shazia",A-4729
"Akiba, Iwao",A-4447
"Akiba, Tomoyosi",A-2745
"Akiba, Yasuhiro",A-16800
"Akilandeswari, A",A-15927
"Akiva, Navot",A-14600
"Akiyama, Kouji",A-4328
"Akkaya, Cem",A-1119
"Akker, Harm op den",A-10931
Akku Burak Kerim,A-18859
"AkkuAaAA,, Burak Kerim",A-13951
Akn Ahmet Afn,A-19017
"Akoglu, Leman",A-18039
"Akra, Diyam",A-14636
"Akram, Misbah",A-6608
"Akram, QuratulAin",A-806
"Aktascedil, Berfin",A-2074
"Akter, Mahzereen",A-13263
"AkAAn, Ahmet AfAA,AAn",A-8039
"Al Kharashi, Ibrahim A",A-8042
"Al Obaidli, Fahad",A-1741
"Al Sallab, Ahmad",A-18104
"Al Shehabi, Shadi",A-8024
"Al Sughaiyer, Imad A",A-7866
"Al Tarouti, Feras",A-13925
"AlAdhaileh, Mosleh Hmoud",A-8239
"AlBadrashiny, Mohamed",A-14819
"AlBasoumy, Husein",A-15808
"AlFares, Waleed",A-1220
"AlHaj, Hassan",A-13196
"AlMannai, Kamla",A-14849
"AlMaskari, Azzah",A-4485
"AlOnaizan, Yaser",A-15211
"AlRaheb, Yafa",A-1000
"AlRfou, Rami",A-8802
"AlSabbagh, Rania",A-13843
"AlSaif, Amal",A-11295
"AlShalabi, Riyad",A-4490
"AlThubaity, AbdulMohsen",A-15951
"AlGhamdi, Fahad",A-7434
"AlTantawy, Mohamed",A-15804
"Alabau, Vicent",A-7247
"Alabbas, Maytham",A-17480
"Alahverdzhieva, Katya",A-9941
"Alam, Hassan",A-325
"AlamirSalloum, Linda",A-6962
"Alamri, Abdulaziz",A-6841
"Alani, Harith",A-18341
"Alansary, Sameh",A-8753
"Alarfaj, Fawaz",A-10884
"Albacete, Patricia",A-6468
"Albatal, Rami",A-7613
"Albayrak, Sahin",A-16713
"Albert, Aviad",A-12114
"Albert, Camille",A-1932
"Albrecht, Joshua",A-676
"Albright, Adam",A-7425
"Albro, Daniel M",A-11294
"Alcaacutezar, Joseacute",A-10054
"Alcantara, Manuel",A-10898
"Aldabe, Itziar",A-6140
"Aldag, Bjorn",A-1020
"Aldaz Salmon, Javier A",A-1497
"Alder, Michael D",A-3809
"Aldezabal, Izaskun",A-18265
"Alegre, Martha A",A-18620
"Alegria, Intildeaki",A-8618
"Aleksic, Vera",A-1282
"Aleman, Yuridiana",A-9137
"Alemu Argaw, Atelach",A-17283
"Aletras, Nikolaos",A-11432
"Aleven, Vincent",A-13386
"Alex, Bea",A-7099
"Alex, Beatrice",A-5929
"Alexander, David",A-5081
"Alexander, Dorcas",A-821
"Alexander, James H",A-12700
"Alexandersson, Jan",A-13658
"Alexandrescu, Andrei",A-18630
"Alexandropoulou, Stavroula",A-6135
"Alexandrov, Theodore",A-9628
"AlexandrovKabadjov, Mijail",A-12528
"Alexe, Bogdan",A-3490
"Alexin, Zoltan",A-2489
"Alexopoulos, Panos",A-10951
"Alexopoulou, Maria",A-12482
"Alexopoulou, Theodora",A-9594
"Alfonseca, Enrique",A-3425
"Alfter, David",A-8211
"Alhawiti, Khaled",A-6255
"Alhelbawy, Ayman",A-9867
"Ali, Aasim",A-9930
"Ali, Ahmed",A-4637
"Ali, Alnur",A-10988
"Ali, Mohammad Naveed",A-3271
"Ali, Syed S",A-13959
"Ali, Wajid",A-2391
"Aliabadi, Purya",A-17790
"Alink, Wouter",A-9907
"Alishahi, Afra",A-17364
"Alizadeh, Mehrdad",A-16190
"Alkhalifa, Musa",A-14266
"Alkharashi, Ibrahim",A-13443
"Alkhouli, Tamer",A-14134
"Alkhulani, Sarah",A-471
"Alkuhlani, Sarah",A-7598
"Allan, James",A-7172
"Allaria, Gianluca",A-17165
"Allauzen, Alexander",A-16943
"Allauzen, Alexandre",A-11223
"Allauzen, Cyril",A-17994
"Allbeck, Jan",A-13284
"Allegrini, Paolo",A-5201
"Allen, Barry A",A-14186
"Allen, Colin",A-13088
"Allen, Eileen E",A-5350
"Allen, James F",A-7709
"Allen, Jonathan",A-13404
"Allen, Kelsey",A-4187
"Alles, Irina",A-16162
"Alleva, Fileno A",A-9681
"Allgayer, Jurgen",A-1735
"Allison, Ben",A-11330
"Allison, Timothy",A-4780
"Allman, Tod",A-2445
"Allmuallim, Ilussein",A-9209
"Allport, David",A-18304
"Allvin, Helen",A-14395
"Allwood, Jens",A-10930
"Almaacutesi, Attila",A-11099
"Alm, Cecilia Ovesdotter",A-14333
"Alm, Norman",A-1712
"Almas, Yousif",A-11876
"Almberg, Joslashrn",A-15778
"Almeida, Mariana S C",A-11043
"Almeida, Miguel",A-15065
"Almeida, Miguel B",A-858
"Almeida, Virgilio",A-6076
Almela Atildengela,A-19026
"Almela, Atildeangela",A-15695
"Almohimeed, Abdulaziz",A-11780
"Almuhareb, Abdulrahman",A-9132
"Alnazzawi, Noha",A-12380
"Aloimonos, Yiannis",A-6439
"Alonge, Antonietta",A-9706
"Alonso Alemany, Laura",A-565
"Alonso Pardo, Miguel A",A-15784
"Alonso, Laura",A-13638
"Alonso, Miguel A",A-5925
"Alonso, Rafael",A-5402
"Alonso, Yuan A",A-11518
"Alotaibi, Fahd",A-7776
"Alotaiby, Fahad",A-14843
"Alpaslan, Ferda",A-3647
"Alphonse, Erick",A-10612
"Alrajeh, Abdullah",A-748
"Alsamara, Khalid",A-15798
"Alshawi, Hiyan",A-11552
"Alshikhabobakr, Hanan",A-18257
"Altamirano, Ivana Romina",A-8395
"Althaus, Ernst",A-17791
"Althobaiti, Maha",A-13916
"Altman, Eitan",A-1063
"Altmann, Gerry",A-12083
"Altmayer, Anne",A-16871
"Altmeyer, Randolf",A-7873
"Altomari, Patrick J",A-17405
"Altun, Yasemin",A-5355
"Altuwaijri, Haya",A-14300
"Aluiacutesio, Sandra",A-16580
"Alumaumle, Tanel",A-16347
"Alumae, Tanel",A-14354
Alusio Sandra,A-18999
Alusio Sandra Maria,A-19118
"AluAAsio, Sandra",A-2559
"AluAAsio, Sandra Maria",A-3075
"Alvarado, Irene",A-13819
"Alvarez, Alison",A-16769
"Alvarez, Amaury",A-17035
"AlvarezDeMon, Inmaculada",A-12827
"AlvarezPereyre, Michael",A-7204
"Alves, Ana",A-18269
"Alves, Eduardo de Paiva",A-14310
"Alviset, Christophe",A-8040
"Aly, Mohamed",A-18553
"Alzate, Carlos",A-17617
"Alzghool, Muath",A-4794
"Aman, Saima",A-1760
"Amancio, Diego Raphael",A-8381
"Amancio, Marcelo",A-12290
"Amano, Shigeaki",A-4800
"Amano, ShinYa",A-10422
"Amar, Muriel",A-8114
"Amaral, Luiz",A-2917
"Amaro, Raquel",A-1797
"Amaya, Fredy A",A-18180
"Ambati, Bharat Ram",A-8615
"Ambati, Vamshi",A-7560
"Ambite, Jose Luis",A-11656
"Amble, Tore",A-10512
"Ambwani, Geetu",A-10279
"Amdal, Ingunn",A-16374
"Amengual, J C",A-3777
"Amigoacute, Enrique",A-1736
"Amigo, Enrique",A-8348
"Amin, Samir K",A-9873
"Aminian, Maryam",A-6072
"Amiot, Dany",A-10860
"Amir, Amihood",A-7528
"Amir, Silvio",A-9
"Amitay, Einat",A-2835
"Ammar, Waleed",A-3183
"Amnueypornsakul, Bussaba",A-16423
"Amo, Pedro",A-18628
"Amoia, Marilisa",A-1090
"Amores, J Gabriel",A-1799
"Amorrortu, Estibaliz",A-15787
"Amri, Amine",A-11443
"Amsili, Pascal",A-15953
"Amsler, Michael",A-11406
"Amsler, Robert A",A-10278
"Amtrup, Jan W",A-14378
"An, Aijun",A-1191
"An, Joohui",A-3513
"Anacleto, Junia Coutinho",A-11631
"Anand, Pranav",A-992
"Ananiadou, Sophia",A-11978
"Ananthakrishnan, Sankaranarayanan",A-18436
"Anastasakos, Anastasios",A-7469
"Anastasiou, Dimitra",A-17897
"Anastasiu, David C",A-157
"Anastasopoulos, Antonios",A-8623
"AnayaSanchez, Henry",A-4231
"Anbarjafari, Gholamreza",A-6826
"Anberbir, Tadesse",A-6327
Andersen istein E,A-18960
"Andersen, Oslashistein E",A-16012
"Andersen, Peggy M",A-5566
"Andersen, AEistein E",A-1772
"Anderson, Andrew J",A-9656
"Anderson, Anne H",A-13963
"Anderson, Ashton",A-410
"Anderson, Barbara B",A-12916
"Anderson, Don D",A-4283
"Anderson, John R",A-7945
"Anderson, Lloyd B",A-17022
"Anderson, Mike",A-16760
"Anderson, Timothy",A-12955
"Andersson, Evelina",A-2775
"Andersson, Mikael",A-8061
"Ando, Maya",A-13922
"Ando, Rie Kubota",A-8496
"Ando, Sachiko",A-4945
"Ando, Shinichi",A-1893
"AndreacutesFerrer, Jesuacutes",A-1239
"Andrade, Daniel",A-6469
"Andre, Elisabeth",A-13765
"Andreas, Jacob",A-6786
"Andreevskaia, Alina",A-15061
"Andreewsky, Alexandre",A-9068
"Andrei, Amanda",A-7240
"Andreka, H",A-13083
"Andreoff, David",A-3017
"Andres, Frederic",A-12736
"Andrew, Adrienne",A-18065
"Andrew, Galen",A-11109
"Andrews, Nicholas",A-8310
"Andrews, Pierre",A-15336
"Andrewshtshenko, V",A-4808
"Andreyev, Nicholas D",A-11492
"Andreyev, Slava",A-1624
"Andrezen, V",A-3450
"Androutsopoulos, Ion",A-14793
"Andrukovich, P F",A-12524
"Andry, Francois",A-3311
"Andrzejewski, David",A-14965
"Anechitei, Daniel",A-3351
"Ang, Jeremy",A-8991
"Angeli, Gabor",A-3373
"Angelov, Krasimir",A-2544
"Angelova, Galia",A-6953
"Angheluta, Roxana",A-3103
"Angluin, Dana",A-9806
"Angrosh, Mandya",A-10859
"Anick, Peter G",A-11590
"Anikst, Mark T",A-15712
"Anisimoff, Ilya",A-395
"Annesi, Paolo",A-10230
"Ansa, Olatz",A-2521
"Ansari, Daniel",A-9817
"Ansari, Sam",A-257
"Anshen, Frank",A-11530
"Antani, Sameer K",A-17373
"Anthony, Stephen",A-8558
"Antieau, Lamont",A-5412
"Antohe, Daniel",A-1630
"Antoine, JeanYves",A-16808
"Antoniadis, G",A-777
"Antonopoulos, V",A-17703
"Antonova, Alexandra",A-14658
"Antoun, Christopher",A-15343
"Antunes, Sandra",A-3531
"Anzaroot, Sam",A-11970
"Aoe, JunIchi",A-7932
"AokiWaibel, Naomi",A-14971
"Aone, Chinatsu",A-9536
"Aouladomar, Farida",A-18022
"Aparicio Gali, Fernando",A-10940
"Aparicio, Juan",A-10480
"Apel, Ulrich",A-869
"Apers, Peter",A-287
"Apidianaki, Marianna",A-5599
"Apollon, Daniel",A-6585
"Apostolova, Emilia",A-4843
"Appelbaum, Lee A",A-5228
"Appell, JensE",A-3674
"Appelo, Lisette",A-18466
"Appelt, Douglas E",A-15513
"Aquing, P",A-11355
"AraAtildeordmjo, VAtildeshytor",A-13982
"Arabsorkhi, Mohsen",A-12280
"Araki, Jun",A-10588
"Araki, Kenji",A-16654
"Araki, Masahiro",A-17731
"Araki, Tetsuo",A-240
"Aramaki, Eiji",A-2145
"Arampatzis, Avi",A-9612
"Aranovich, Roberto",A-17009
"Aransa, Walid",A-1130
Aranzabe Mara Jess,A-18893
"Aranzabe, MarAtildenota JesAtildeordms",A-4933
"Aranzabe, MarAAa JesAAos",A-14235
"Aranzabe, Maxux J",A-1028
"Arapov, M V",A-9865
"Arase, Yuki",A-15337
Araujo Mrcio Jos,A-19138
"Araujo, Lourdes",A-3068
"Araujo, MAArcio JosAAc",A-5600
"Araya, Makoto",A-9506
"Arcan, Mihael",A-15210
"Archambeau, Cedric",A-13307
"Archer, Dawn",A-4083
"Archer, Vincent",A-15563
"Ardissono, Liliana",A-2687
"Areces, Carlos",A-1270
"Arehart, Mark",A-129
"Arens, Robert",A-15976
"Arens, Roman G",A-16685
"Arens, Yigal",A-4569
"Areta, Nerea",A-9008
"Aretoulaki, Maria",A-17580
"Arez, Pedro",A-4920
"Argamon, Shlomo",A-3882
"Argenton, Hans",A-917
"Arguello, Jaime",A-985
"Argueta, Carlos",A-3224
"Arhar, xApela",A-1734
"Arifin, S M Niaz",A-15317
"Ariki, Yasuo",A-11960
"Arimoto, Yoshiko",A-4904
AringnbspariAuml Frane,A-18963
"Arioka, M",A-12516
"Arisoy, Ebru",A-14028
"Arita, Hidekazu",A-9504
"Arita, Kazuho",A-6463
"Arita, Seigo",A-2813
"Arizmendi, Iker",A-17173
"Arka, I Wayan",A-4665
"Arkhangelskiy, Timofey",A-13491
"Armanasu, Alex",A-13066
"Armsby, Polly",A-15077
"Armstrong, Jackson",A-17092
"Armstrong, Susan",A-9894
"Arnaiz, Alfredo",A-1652
"Arnaudov, Todor",A-12263
"Arnola, Harri",A-4514
"Arnold, Andrew",A-3639
"Arnold, Carolin",A-6473
"Arnold, Doug J",A-12382
"Arnold, Sebastian",A-15811
"Arnoult, Sophie",A-9756
"Aronoff, Mark",A-13906
"Aronson, Alan R",A-621
"Aroonmanakun, Wirote",A-5810
"Arora, Ashima",A-17400
"Arora, Karunesh Kumar",A-16920
"Arora, Piyush",A-3252
"Arora, Shilpa",A-13003
"Arosio, Fabrizio",A-98
"Arppe, Antti",A-1938
"Arranz, Victoria",A-14316
"Arregi, Olatz",A-16421
"Arregi, X",A-17040
"Arregi, Xabier",A-6408
"Arregui, Miguel",A-2263
"Arriaga, Rosa",A-7532
"Arrieta, Bertol",A-18663
"Arriola, Jose Maria",A-6409
"Arrowood, Jon A",A-470
"Arsentyeva, N G",A-7803
"Arszman Lavanier, Sarah",A-14015
"Artale, Alessandro",A-17999
"Artemieff, Suzanne",A-1622
"Artigas, Nuria",A-1600
"Artiles, Javier",A-16474
Artires Thierry,A-18923
"ArtiAAres, Thierry",A-9565
"Artola, X",A-18333
"Artola, Xabier",A-14396
"Arts, Koen",A-14779
"Artstein, Ron",A-2960
"Artzi, Yoav",A-9100
"Aruga, Norikazu",A-14371
"Arumainayagam, Yogi",A-5707
"Arun, Abhishek",A-7683
"Arzt, Sebastian",A-9917
"Asa, Yasuhiro",A-14317
"Asada, Yoshiaki",A-10727
"Asadi, Ayman",A-5117
"Asahara, Masayuki",A-2152
"Asai, Ryota",A-12179
"Asakura, Takeshi",A-378
"Asano, Hisako",A-2767
"Asgari, Ehsaneddin",A-7599
"Asghari, Habibollah",A-7108
"Asher, Nicholas",A-467
"Ashley, Kevin D",A-6215
"Ashok, B",A-9714
"Ashok, Vikas",A-17378
"Ashton, Neil",A-12826
"Ashwell, Peter",A-16941
"Asker, Lars",A-73
"Asooja, Kartik",A-3310
"Assadi, Houssem",A-10488
"Assaf, Dan",A-5287
"Assefa, Beakal Gizachew",A-13345
"Asterias, Jordi",A-9666
"Astigarraga, Aitzol",A-17634
"Astley, Philip",A-6272
"Asudeh, Ash",A-9507
"Aswani, Niraj",A-2916
"Atallah, Mikhail J",A-2334
"Athanasopoulou, Georgia",A-6811
"Athar, Awais",A-18601
"Athitsos, Vassilis",A-12317
AtildeAtildeparaltekin AtildeaAumlrAumlplusmn,A-19027
"Atiya, Amir",A-18198
"Atiyya, Mohammed",A-4803
"Atkins, B T S",A-8175
"Atkinson, Martin",A-1030
"Atlam, ElSayed",A-16507
"Atserias, Jordi",A-16606
"Attardi, Giuseppe",A-6167
"Atterer, Michaela",A-4558
"Attia, Mohammed",A-16269
"Attik, Mohammed",A-5999
"Attokurov, Ulukbek",A-2756
"Atutxa, Aitziber",A-9487
"Atwell, Eric Steven",A-18496
"Aubergeacute, Veacuteronique",A-17384
"Aubin, Sophie",A-12337
"Audhkhasi, Kartik",A-15474
"Audibert, Laurent",A-17502
"Audibert, Nicolas",A-7197
"Aue, Anthony",A-1504
"Auer, John",A-18737
"Aufaure, MarieAude",A-1861
"Augenstein, Isabelle",A-10955
"August, Stephanie E",A-18345
"Auli, Michael",A-96
"Aull, Laura",A-15674
"AussenacGilles, Nathalie",A-2075
"Austerweil, Joseph",A-9710
"Austin, Steve",A-17086
"Avalos, Santiago",A-8407
Avano Lucas,A-18998
"Avanzi, Mathieu",A-10449
"AvanAASSo, Lucas",A-18277
"Avgustinova, Tania",A-5722
"Avram, Dana",A-5423
"Avramidis, Eleftherios",A-1570
"Aw, Ai Ti",A-6145
"Aw, Aiti",A-14419
"Axelrod, Amittai",A-16916
"Axelrod, Scott",A-13579
"Ayscedile, Scedilerbetccedili",A-13604
"Ayache, Christelle",A-6521
"Ayan, Necip Fazil",A-3025
"Aylett, Ruth",A-12563
"Ayo, Jonathan P",A-16274
"Ayuso, Damaris M",A-6912
"Azab, Mahmoud",A-3034
"Azaoui, Brahim",A-3781
"Azeredo, Susana",A-4719
"Azim, Roussanaly",A-10994
"Aziz, Mohd Juzaiddin Ab",A-8016
"Aziz, Wilker",A-11742
"Azmi Murad, Masrah Azrifah",A-3066
"Azuma, Ai",A-13551
"Azuma, Makiko",A-8437
"Azzam, Saliha",A-4912
"Azzopardi, Leif",A-18235
"BxEr, Daniel",A-11795
"BAtildeparagel, Tina",A-7985
"BAtildepararschinger, Benjamin",A-9674
"Beacutechet, Nicolas",A-15020
"Boumlrschinger, Benjamin",A-6400
"Buumllthoff, Heinrich H",A-2059
"Buumlchse, Matthias",A-8125
"Baxski, Piotr",A-5667
"Bascaronx, Bojana Dalbelo",A-8647
"Ba, Ousmane",A-14388
"Baart, Joan L G",A-10854
"Baayen, R Harald",A-15396
"Baba, Yukino",A-15022
"Babaeian Jelodar, Ahmad",A-9467
"Babani, James",A-1271
"Babbar, Uday",A-5933
"BabesVroman, Monica",A-12151
"BabkoMalaya, Olga",A-18758
"Babych, Bogdan",A-2470
"Bacalu, Ciprian",A-4779
"Bacchiani, Michiel",A-9916
"Bach, Francis",A-14586
"Bach, Nguyen",A-8997
"Bachan, Jolanta",A-7367
"Bachenko, Joan",A-1719
"Bachimont, Bruno",A-17599
"Bachman, Lyle F",A-8156
"Bachmann, Martina",A-3965
"Bachrach, Asaf",A-13327
"Bachrach, J A",A-4292
"Bachut, Daniel",A-18190
"Backer, Wm J",A-5156
"Backofen, Rolf",A-16447
"Backus, Ad",A-2141
"Backus, Sarah",A-11627
"Bad, Rens",A-2116
"Bada, Michael",A-3235
"Badaro, Gilbert",A-18166
"Badaskar, Sameer",A-8341
"Badenhorst, Jaco",A-13091
"Bader, Brett W",A-9545
"Badia, Toni",A-13185
"Badieh Habib Morgan, Mena",A-6178
"Badji, Zina",A-9633
"Badler, Norman",A-7447
"Badr, Ibrahim",A-1435
"Badran, Ahmed",A-16197
"Badryzlova, Yulia",A-9863
"Badulescu, Adriana",A-12277
"Bae, SunMee",A-13582
"Baert, E",A-12680
"BaezaYates, Ricardo",A-1979
"Bagdouri, Mossaab",A-6458
"Bagga, Amit",A-9433
"Baggia, Paolo",A-13928
"Bahdanau, Dzmitry",A-17837
