0,1,2
965,What is the Name of the Author with ID A-3338 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-3338';
1332,List the paper ID of the all the paper which in the conference with ID C-497,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-497
556,What is title of the paper with PaperID P12-2031?,SELECT Title FROM PaperID_Title WHERE PaperID = 'P12-2031'
420,Count the numberFields associated with paperID D09-1114,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'D09-1114'
912,Give the affiliationid of A-2412  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-2412'"
933,Give the affiliationid of A-7289  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-7289'"
1360,List the paper ID of the all the paper which in the conference with ID C-325,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-325
1223,How many author have name which contains with Ber ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%Ber%';
970,What is the Name of the Author with ID A-1973 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-1973';
736,List all the affliates that contain Southern,"SELECT Place,Affiliate,AffiliationID FROM AffiliationID_Place_Affiliation WHERE Affiliate LIKE '%Southern%'"
1125,What are the IDs of the Authors whose name begin with BrA ?,SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'BrA%';
278,What is the number of Authors of P07-1004,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'P07-1004' 
1316,What is the Conference ID of the conference in which paper of the id T75-2001 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='T75-2001';
1609,What is the venue for the conference with the ID C-24?,SELECT Venue FROM ConfID_Venue_Year WHERE ConfID=C-24;
1750,Which papers have the keyword ID as K-6302?,SELECT PaperID FROM KeywordID_PaperID WHERE KeywordID=K-6302;
1072,"What is the ID of the Author whose name is Weerasinghe, Ruvan ?","SELECT AuthID FROM AuthID_Name WHERE Name='Weerasinghe, Ruvan';"
237,List all the authors for W04-3111,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W04-3111' 
1622,How many conferences held before 1992?,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Year<1992;
1416,List all the conference which has beeen conducted in the field with ID F-0,SELECT ConfID FROM ConfID_FieldID WHERE FieldID='F-0' ;
1691,Which conference was held at Proceedings of the First Workshop on Language Technologies for African Languages and in Year?,SELECT ConfID FROM ConfID_Venue_Year WHERE Venue=Proceedings of the First Workshop on Language Technologies for African Languages AND Year=Year;
1671,Which conference was held at Proceedings of the EACL 2009 Workshop on Computational Linguistic Aspects of Grammatical Inference and in Year?,SELECT ConfID FROM ConfID_Venue_Year WHERE Venue=Proceedings of the EACL 2009 Workshop on Computational Linguistic Aspects of Grammatical Inference AND Year=Year;
1178,"How many author have name which begins with Newman, Da ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Newman, Da%';"
1260,How many number of papers have been published in the conference C-63?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-63' ;
209,How many authors contributed to paper C96-2203,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'C96-2203' 
1027,Name the author whose ID is A-7179,SELECT Name FROM AuthID_Name WHERE AuthID='A-7179';
1328,List the paper ID of the all the paper which in the conference with ID C-605,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-605
864,Count all authids with AF-71,SELECT Count(AuthID) FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-71'
58,What are the papers written by A-1733?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-1733'
456,what is the summary of paper with paperID W10-4159 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'W10-4159' 
1349,List the paper ID of the all the paper which in the conference with ID C-187,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-187
562,What is Paper ID of the paper with title Intentional Context In Situated Natural Language Learning?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Intentional Context In Situated Natural Language Learning'
917,Give the affiliationid of A-5709  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-5709'"
1343,List the paper ID of the all the paper which in the conference with ID C-131,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-131
368,What are the Fields associated with paperID W10-4235?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'W10-4235'
534,What is title of the paper with PaperID N10-1022?,SELECT Title FROM PaperID_Title WHERE PaperID = 'N10-1022'
359,What are the Fields associated with paperID N09-2007?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'N09-2007'
1595,What is the venue for the conference with the ID C-402?,SELECT Venue FROM ConfID_Venue_Year WHERE ConfID=C-402;
1365,How many number of papers have been published with the ID that starts with E14?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'E14%' ;
1734,Which papers have the keyword ID as K-6616?,SELECT PaperID FROM KeywordID_PaperID WHERE KeywordID=K-6616;
1715,Name the topic corresponding to the Field ID F-12.,SELECT Topic FROM FieldID_Topic WHERE FieldID=F-12;
1180,"How many author have name which begins with Vulicacute, ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Vulicacute,%';"
293,What is the number of Authors of W03-0108,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W03-0108' 
606,What is Paper ID of the paper with title Large-Scale Cognate Recovery?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Large-Scale Cognate Recovery'
1304,What is the Conference ID of the conference in which paper of the id J97-3006 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='J97-3006';
588,What is Paper ID of the paper with title Towards A Self-Extending Lexicon?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Towards A Self-Extending Lexicon'
1032,Name the author whose ID is A-5217,SELECT Name FROM AuthID_Name WHERE AuthID='A-5217';
884,Count all authids with AF-1215,SELECT Count(AuthID) FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-1215'
971,What is the Name of the Author with ID A-8747 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-8747';
234,List all the authors for N04-1019,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'N04-1019' 
596,What is Paper ID of the paper with title Machine Translation Systems And Computer Dictionaries In The Information Service: Ways Of Their Development And Operation?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Machine Translation Systems And Computer Dictionaries In The Information Service: Ways Of Their Development And Operation'
1540,How many total conferences have been held at SENSEVAL International Workshop On The Evaluation Of Systems For The Semantic Analysis Of Text?,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Venue=SENSEVAL International Workshop On The Evaluation Of Systems For The Semantic Analysis Of Text;
197,How many authors contributed to paper C02-1107,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'C02-1107' 
836,List all authids with AF-435,SELECT AuthID FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-435'
500,Print summary of paper W02-0605,SELECT Summary from PaperID_Summary WHERE PaperID = 'W02-0605' 
1741,Which papers have the keyword ID as K-7132?,SELECT PaperID FROM KeywordID_PaperID WHERE KeywordID=K-7132;
82,What are the papers written by A-2183?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-2183'
1639,How many conferences held after 2010?,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Year>2010;
1436,What is the Field ID in which the conference with ID C-544 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-544' ;
1541,How many total conferences have been held at Proceedings of the NAACL HLT 2010 Second Workshop on Computational Approaches to Linguistic Creativity?,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Venue=Proceedings of the NAACL HLT 2010 Second Workshop on Computational Approaches to Linguistic Creativity;
929,Give the affiliationid of A-9291  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-9291'"
385,What are the Fields associated with paperID W02-1117?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'W02-1117'
112,How many papers are written by A-18651?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-18651'
1443,What is the Field ID in which the conference with ID C-289 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-289' ;
1069,"What is the ID of the Author whose name is Cardenas, Marina ?","SELECT AuthID FROM AuthID_Name WHERE Name='Cardenas, Marina';"
1433,What is the Field ID in which the conference with ID C-80 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-80' ;
1060,"What is the ID of the Author whose name is Greiff, John ?","SELECT AuthID FROM AuthID_Name WHERE Name='Greiff, John';"
1431,What is the Field ID in which the conference with ID C-608 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-608' ;
911,Give the affiliationid of A-9814  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-9814'"
821,Where is affiliate TIS Inc loacted?,SELECT Place From AffiliationID_Place_Affiliation WHERE Affiliate LIKE 'TIS Inc
1423,What is the Field ID in which the conference with ID C-446 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-446' ;
314,Count all the papers associated with FieldID F-0.,SELECT COUNT(PaperID) FROM PaperID_FieldID WHERE FieldID = 'F-0' 
1751,Which papers have the keyword ID as K-2477?,SELECT PaperID FROM KeywordID_PaperID WHERE KeywordID=K-2477;
1128,"What are the IDs of the Authors whose name begin with Cross,  ?","SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'Cross, %';"
548,What is title of the paper with PaperID N07-1059?,SELECT Title FROM PaperID_Title WHERE PaperID = 'N07-1059'
1124,"List the Authors whose name begin with Eddy, ?","SELECT AuthID FROM AuthID_Name WHERE Name='Eddy,';"
1301,What is the Conference ID of the conference in which paper of the id W06-3408 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='W06-3408';
590,What is Paper ID of the paper with title The Role Of Initiative In Tutorial Dialogue?,SELECT PaperID FROM PaperID_Title WHERE Title = 'The Role Of Initiative In Tutorial Dialogue'
1256,How many number of papers have been published in the conference C-492?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-492' ;
483,Print summary of paper J81-2001,SELECT Summary from PaperID_Summary WHERE PaperID = 'J81-2001' 
1449,What is the Field ID in which the conference with ID C-292 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-292' ;
1742,Which papers have the keyword ID as K-3460?,SELECT PaperID FROM KeywordID_PaperID WHERE KeywordID=K-3460;
1335,List the paper ID of the all the paper which in the conference with ID C-171,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-171
1737,Which papers have the keyword ID as K-5515?,SELECT PaperID FROM KeywordID_PaperID WHERE KeywordID=K-5515;
1697,Which conference was held at Proceedings of the Workshop on Software Engineering Testing and Quality Assurance for Natural Language Processing (SETQA-NLP 2009) and in Year?,SELECT ConfID FROM ConfID_Venue_Year WHERE Venue=Proceedings of the Workshop on Software Engineering Testing and Quality Assurance for Natural Language Processing (SETQA-NLP 2009) AND Year=Year;
499,Print summary of paper W09-0702,SELECT Summary from PaperID_Summary WHERE PaperID = 'W09-0702' 
1683,Which conference was held at Workshop On Natural Language Generation EWNLG and in Year?,SELECT ConfID FROM ConfID_Venue_Year WHERE Venue=Workshop On Natural Language Generation EWNLG AND Year=Year;
639,List all the Paper IDs of the paper with title starting with Regul?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Regul%'
1308,What is the Conference ID of the conference in which paper of the id P02-1065 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='P02-1065';
905,Give the affiliationid of A-15564  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-15564'"
665,List all the affliates located in Athens GA,SELECT Affiliate FROM AffiliationID_Place_Affiliation WHERE Place LIKE '%Athens GA%'
851,List all authids with AF-863,SELECT AuthID FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-863'
855,List all authids with AF-581,SELECT AuthID FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-581'
961,What is the Name of the Author with ID A-2609 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-2609';
332,List all the Field IDs associated with paperID W07-1518.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'W07-1518'
255,List all the authors for W98-1015,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W98-1015' 
771,What is the name of affiliate with AF-1867 and where it is located,"SELECT Affiliate,Place FROM AffiliationID_Place_Affiliation WHERE AffiliationID == 'AF-1867'"
327,List all the Field IDs associated with paperID C08-1103.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'C08-1103'
1234,"How many author have name which contains with He,  ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%He, %';"
560,What is title of the paper with PaperID W11-1012?,SELECT Title FROM PaperID_Title WHERE PaperID = 'W11-1012'
687,How many affliates are located in Hsinchu Taiwan,SELECT Count(Affiliate) FROM AffiliationID_Place_Affiliation WHERE Place LIKE '%Hsinchu Taiwan%
1007,Name the author whose ID is A-10585,SELECT Name FROM AuthID_Name WHERE AuthID='A-10585';
900,Give the affiliationid of A-8450  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-8450'"
634,List all the Paper IDs of the paper with title starting with Re?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Re%'
178,How many authors contributed to paper W12-3140,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W12-3140' 
1319,What is the Conference ID of the conference in which paper of the id W08-1809 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='W08-1809';
1647,How many conferences held after 1973?,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Year>1973;
1636,How many conferences held after 2016?,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Year>2016;
87,What are the papers written by A-13243?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-13243'
923,Give the affiliationid of A-2371  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-2371'"
1196,How many author have name which begins with GambA ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'GambA%';
1659,Which conference was held at Coling 2008: Proceedings of the workshop on Cross-Framework and Cross-Domain Parser Evaluation and in Year?,SELECT ConfID FROM ConfID_Venue_Year WHERE Venue=Coling 2008: Proceedings of the workshop on Cross-Framework and Cross-Domain Parser Evaluation AND Year=Year;
370,What are the Fields associated with paperID P09-1121?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'P09-1121'
1746,Which papers have the keyword ID as K-1330?,SELECT PaperID FROM KeywordID_PaperID WHERE KeywordID=K-1330;
1073,"What is the ID of the Author whose name is Backus, Ad ?","SELECT AuthID FROM AuthID_Name WHERE Name='Backus, Ad';"
266,What is the number of Authors of S12-1002,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'S12-1002' 
288,What is the number of Authors of C10-1018,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'C10-1018' 
1738,Which papers have the keyword ID as K-486?,SELECT PaperID FROM KeywordID_PaperID WHERE KeywordID=K-486;
363,What are the Fields associated with paperID I08-7007?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'I08-7007'
54,What are the papers written by A-13771?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-13771'
1174,How many author have name which begins with Kivimki Il ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Kivimki Il%';
1276,How many number of papers have been published in the conference C-418?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-418' ;
1009,Name the author whose ID is A-3382,SELECT Name FROM AuthID_Name WHERE AuthID='A-3382';
656,List all the affliates located in Hwaseong Korea,SELECT Affiliate FROM AffiliationID_Place_Affiliation WHERE Place LIKE '%Hwaseong Korea%'
1231,How many author have name which contains with Yega ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%Yega%';
527,What is title of the paper with PaperID P13-2149?,SELECT Title FROM PaperID_Title WHERE PaperID = 'P13-2149'
924,Give the affiliationid of A-1710  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-1710'"
222,List all the authors for S12-1071,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'S12-1071' 
114,How many papers are written by A-1379?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-1379'
1168,"How many author have name which begins with Lu, ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Lu,%';"
861,Count all authids with AF-518,SELECT Count(AuthID) FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-518'
1627,How many conferences held before 1969?,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Year<1969;
1597,What is the venue for the conference with the ID C-375?,SELECT Venue FROM ConfID_Venue_Year WHERE ConfID=C-375;
502,Print summary of paper W13-1505,SELECT Summary from PaperID_Summary WHERE PaperID = 'W13-1505' 
175,List all the authors who contributed to paper C10-1036,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'C10-1036' 
566,What is Paper ID of the paper with title Japanese Dependency Structure Analysis Based On Maximum Entropy Models?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Japanese Dependency Structure Analysis Based On Maximum Entropy Models'
659,List all the affliates located in St. Augustine Trinidad,SELECT Affiliate FROM AffiliationID_Place_Affiliation WHERE Place LIKE '%St. Augustine Trinidad%'
1367,How many number of papers have been published with the ID that starts with W11?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'W11%' ;
1327,List the paper ID of the all the paper which in the conference with ID C-19,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-19
18,List all the papers which are written by author of authorID A-6775.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-6775'
428,Count the numberFields associated with paperID E09-1003,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'E09-1003'
1140,"What are the IDs of the Authors whose name begin with Huynh, Congph ?","SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'Huynh, Congph%';"
286,What is the number of Authors of C67-1009,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'C67-1009' 
1348,List the paper ID of the all the paper which in the conference with ID C-113,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-113
433,Count the numberFields associated with paperID C10-1138,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'C10-1138'
1285,What is the Conference ID of the conference in which paper of the id J83-3002 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='J83-3002';
1312,What is the Conference ID of the conference in which paper of the id W08-1108 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='W08-1108';
31,List all the papers which are written by author of authorID A-11729.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-11729'
968,What is the Name of the Author with ID A-2724 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-2724';
721,List all the affliates that contain Digital,"SELECT Place,Affiliate,AffiliationID FROM AffiliationID_Place_Affiliation WHERE Affiliate LIKE '%Digital%'"
215,How many authors contributed to paper W06-1624,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W06-1624' 
762,Count all the affliates that contain Institute,SELECT Count(Affiliate) FROM AffiliationID_Place_Affiliation WHERE Affiliate LIKE '%Institute%'
331,List all the Field IDs associated with paperID W07-2086.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'W07-2086'
1588,What is the venue for the conference with the ID C-258?,SELECT Venue FROM ConfID_Venue_Year WHERE ConfID=C-258;
557,What is title of the paper with PaperID W09-1605?,SELECT Title FROM PaperID_Title WHERE PaperID = 'W09-1605'
1005,What is the Name of the Author with ID A-11964 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-11964';
346,List all the Field IDs associated with paperID D07-1097.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'D07-1097'
148,List all the authors who contributed to paper H01-1072,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'H01-1072' 
365,What are the Fields associated with paperID W00-0104?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'W00-0104'
84,What are the papers written by A-10669?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-10669'
48,What are the papers written by A-2000?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-2000'
473,what is the summary of paper with paperID H93-1113 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'H93-1113' 
156,List all the authors who contributed to paper P09-4007,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'P09-4007' 
1021,Name the author whose ID is A-7022,SELECT Name FROM AuthID_Name WHERE AuthID='A-7022';
1192,How many author have name which begins with Z ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Z%';
1534,How many total conferences have been held at Workshop On The Relation Of Discourse/Dialogue Structure And Reference?,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Venue=Workshop On The Relation Of Discourse/Dialogue Structure And Reference;
1554,How many total conferences are held in the year 2008?,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Year=2008;
505,Print summary of paper W97-0304,SELECT Summary from PaperID_Summary WHERE PaperID = 'W97-0304' 
180,How many authors contributed to paper P10-3012,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'P10-3012' 
1689,Which conference was held at Workshop On Analysis Of Geographic References and in Year?,SELECT ConfID FROM ConfID_Venue_Year WHERE Venue=Workshop On Analysis Of Geographic References AND Year=Year;
1527,How many total conferences have been held at Workshop On Syntactic And Semantic Complexity In Natural Language Processing Systems?,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Venue=Workshop On Syntactic And Semantic Complexity In Natural Language Processing Systems;
633,List all the Paper IDs of the paper with title starting with Finding the Right Supervisor: Expert-Finding i?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Finding the Right Supervisor: Expert-Finding i%'
533,What is title of the paper with PaperID W10-0725?,SELECT Title FROM PaperID_Title WHERE PaperID = 'W10-0725'
351,List all the Field IDs associated with paperID W10-0605.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'W10-0605'
1179,How many author have name which begins with Ya ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Ya%';
1718,Name the topic corresponding to the Field ID F-8.,SELECT Topic FROM FieldID_Topic WHERE FieldID=F-8;
679,List all the affliates located in La Tronche France,SELECT Affiliate FROM AffiliationID_Place_Affiliation WHERE Place LIKE '%La Tronche France%'
827,Where is affiliate Financial Crimes Enforcement Network loacted?,SELECT Place From AffiliationID_Place_Affiliation WHERE Affiliate LIKE 'Financial Crimes Enforcement Network
