KeywordID,PaperID
K-17,C04-1008
K-17,D11-1027
K-17,D13-1098
K-17,D14-1198
K-17,P12-2014
K-18,C10-1125
K-18,P13-2046
K-18,W04-0401
K-18,W05-1005
K-18,W06-2407
K-18,W09-2906
K-18,W10-1810
K-18,W10-2108
K-18,W11-0807
K-18,W11-0808
K-18,W11-0817
K-18,W13-1018
K-18,W14-5810
K-18,W14-5816
K-19,W93-0103
K-20,P13-2025
K-21,J10-4005
K-21,J87-3008
K-22,C94-2123
K-23,J13-1001
K-23,P05-1031
K-23,W97-0202
K-24,C96-2104
K-24,C96-2140
K-24,D08-1045
K-24,D11-1030
K-24,E14-4016
K-24,I05-2034
K-24,P13-3001
K-24,P14-5003
K-24,P15-1171
K-24,P99-1037
K-24,W07-1032
K-24,W10-3808
K-25,C10-2098
K-25,D14-1177
K-25,E12-2021
K-25,P06-2044
K-25,W10-3113
K-25,W13-2512
K-26,N06-3010
K-27,W02-0207
K-28,P14-1123
K-28,W06-1521
K-28,W09-2110
K-28,W12-0804
K-28,W12-2019
K-28,W96-0408
K-29,C14-3006
K-29,D07-1096
K-29,D07-1111
K-29,D07-1125
K-29,D08-1017
K-29,D09-1058
K-29,D10-1118
K-29,D16-1001
K-29,D16-1109
K-29,E12-1008
K-29,N10-4004
K-29,P06-1105
K-29,P07-1050
K-29,P12-1023
K-29,P13-2017
K-29,P13-3005
K-29,P15-1031
K-29,P16-1218
K-29,Q13-1025
K-29,Q14-1011
K-29,S12-1073
K-29,S12-1074
K-29,S14-2027
K-29,W06-2925
K-29,W07-2217
K-29,W08-2132
K-29,W09-1218
K-29,W09-3817
K-29,W09-3819
K-29,W09-3822
K-29,W10-1403
K-29,W11-0302
K-29,W14-6108
K-30,H89-2002
K-30,H89-2061
K-30,H91-1069
K-30,H91-1073
K-30,H91-1082
K-30,H92-1084
K-30,H93-1063
K-30,H93-1067
K-30,J03-2003
K-30,N03-3002
K-30,N06-1036
K-30,N07-1001
K-30,N10-1005
K-30,P09-1061
K-30,P09-2068
K-30,P11-1074
K-30,P86-1022
K-30,P90-1003
K-30,P92-1015
K-30,W00-0716
K-30,W11-0405
K-30,W11-0603
K-30,W97-0608
K-30,W97-1201
K-30,W97-1202
K-30,W97-1206
K-30,W97-1208
K-31,N04-3004
K-31,P08-2004
K-31,P10-1059
K-31,W10-2204
K-32,A00-1032
K-32,A97-1020
K-32,J01-2001
K-33,A00-2020
K-33,A00-3006
K-33,A88-1011
K-33,A92-1015
K-33,A92-1019
K-33,A94-1026
K-33,A97-1025
K-33,C02-1101
K-33,C08-1109
K-33,C10-1030
K-33,C14-1028
K-33,C14-1106
K-33,C14-1162
K-33,C14-1164
K-33,C14-2012
K-33,C14-2015
K-33,C88-1034
K-33,C88-2127
K-33,C88-2146
K-33,C90-3038
K-33,C92-3155
K-33,C94-2176
K-33,C96-2114
K-33,C96-2131
K-33,D09-1080
K-33,D09-1121
K-33,D09-1129
K-33,D12-1096
K-33,D13-1027
K-33,D14-1033
K-33,D14-1068
K-33,E06-1034
K-33,E09-1023
K-33,E12-1054
K-33,E14-1038
K-33,E14-1072
K-33,E14-2015
K-33,E14-3013
K-33,E87-1007
K-33,E93-1057
K-33,H01-1028
K-33,H05-1006
K-33,H05-1120
K-33,H05-2001
K-33,I05-1058
K-33,I08-2138
K-33,J01-2002
K-33,N07-2040
K-33,N09-2049
K-33,N10-1018
K-33,N13-1055
K-33,P02-1019
K-33,P03-2026
K-33,P05-1040
K-33,P06-1031
K-33,P08-1021
K-33,P09-2021
K-33,P10-1075
K-33,P10-2014
K-33,P11-1084
K-33,P11-4005
K-33,P12-1108
K-33,P12-2039
K-33,P12-2073
K-33,P13-3025
K-33,P14-2002
K-33,P14-2021
K-33,P14-2028
K-33,P15-1111
K-33,P82-1036
K-33,P93-1008
K-33,P96-1010
K-33,P98-1003
K-33,P98-1107
K-33,P98-1122
K-33,P98-2142
K-33,P98-2167
K-33,S12-1007
K-33,T87-1043
K-33,W02-1015
K-33,W05-1619
K-33,W06-2301
K-33,W07-0212
K-33,W07-1604
K-33,W07-2209
K-33,W09-1007
K-33,W09-3022
K-33,W09-3104
K-33,W09-3828
K-33,W09-3906
K-33,W10-1004
K-33,W10-1005
K-33,W10-1011
K-33,W10-1805
K-33,W10-4107
K-33,W10-4207
K-33,W11-1410
K-33,W11-1422
K-33,W12-0304
K-33,W12-2011
K-33,W12-2012
K-33,W12-2023
K-33,W12-2025
K-33,W12-2035
K-33,W13-3604
K-33,W14-1712
K-33,W14-1713
K-33,W14-3357
K-33,W14-3616
K-33,W14-3618
K-33,W14-3620
K-33,W96-0108
K-33,W97-0508
K-33,W97-0620
K-33,W97-0902
K-34,C88-1039
K-34,H91-1064
K-34,N12-1057
K-34,N15-1086
K-34,P03-2002
K-34,P04-2002
K-34,P08-2031
K-34,P14-2004
K-34,W01-1613
K-34,W09-3948
K-34,W12-2903
K-34,W14-4307
K-34,W97-0320
K-35,E09-3007
K-35,E12-1054
K-35,H05-1109
K-35,N03-1018
K-36,P10-2013
K-36,W12-3210
K-36,W12-3213
K-37,C92-2094
K-37,W06-2202
K-38,D12-1131
K-38,N09-3014
K-39,N15-2009
K-39,P82-1026
K-40,C96-1072
K-40,D14-1130
K-41,H90-1013
K-41,H90-1020
K-41,N07-1005
K-41,P01-1020
K-41,P09-1099
K-41,P89-1031
K-41,P97-1035
K-41,W01-0815
K-41,W01-1614
K-41,W08-1113
K-41,W09-1511
K-41,W12-2203
K-42,C04-1133
K-43,C96-2199
K-43,P06-4019
K-43,W03-1901
K-43,W07-1507
K-43,W07-1526
K-43,W09-0716
K-43,W09-3004
K-43,W09-3005
K-43,W09-3943
K-44,H90-1073
K-44,H91-1008
K-45,C08-1089
K-45,C08-1105
K-45,C08-1125
K-45,C08-1130
K-45,D13-1045
K-45,D14-1054
K-45,D14-1123
K-45,D14-1205
K-45,D16-1246
K-45,E06-3009
K-45,I08-4024
K-45,N15-1136
K-45,P00-1015
K-45,P05-1062
K-45,P06-1058
K-45,P06-1129
K-45,P06-1136
K-45,P07-1087
K-45,P09-2030
K-45,P11-1006
K-45,P11-1037
K-45,P12-1055
K-45,P13-1074
K-45,P13-2050
K-45,P14-1113
K-45,P14-1146
K-45,P14-2009
K-45,P14-2069
K-45,P15-1011
K-45,P15-1023
K-45,P15-1056
K-45,P15-1145
K-45,P15-2136
K-45,P16-1220
K-45,P16-1222
K-45,P16-2015
K-45,P16-2022
K-45,S12-1057
K-45,W00-1313
K-45,W02-1806
K-45,W04-1018
K-45,W06-0140
K-45,W08-2139
K-45,W09-1202
K-45,W09-1208
K-45,W10-1706
K-45,W10-3013
K-45,W10-4114
K-46,C02-1104
K-46,S12-1006
K-46,W06-2503
K-46,W11-0143
K-46,W14-6101
K-47,N04-1042
K-47,P05-1003
K-47,W06-2918
K-47,W10-4113
K-48,D08-1026
K-48,D11-1039
K-48,E06-1022
K-48,E09-2017
K-48,H01-1012
K-48,N04-1018
K-48,N04-4032
K-48,N09-5002
K-48,N13-1039
K-48,N15-1038
K-48,P01-1016
K-48,P06-2008
K-48,P12-1021
K-48,P13-1011
K-48,P15-1159
K-48,P90-1013
K-48,P92-1009
K-48,T78-1019
K-48,W00-0308
K-48,W03-2105
K-48,W04-2320
K-48,W04-2808
K-48,W06-1323
K-48,W06-3408
K-48,W07-1902
K-48,W08-0121
K-48,W09-0622
K-48,W10-1841
K-48,W10-4307
K-48,W10-4317
K-48,W11-0609
K-48,W11-2006
K-48,W13-4037
K-48,W13-4043
K-48,W13-4051
K-48,W14-4309
K-48,W14-4319
K-48,W94-0325
K-49,W03-2113
K-50,P00-1002
K-51,C88-1053
K-51,C90-3023
K-51,D08-1005
K-51,E12-1063
K-51,H01-1067
K-51,H89-2075
K-51,H91-1095
K-51,I05-5005
K-51,I08-1035
K-51,P09-2050
K-51,P11-2086
K-51,P13-1159
K-51,P16-2061
K-51,P83-1022
K-51,W01-1301
K-51,W02-0305
K-51,W04-0607
K-51,W08-0621
K-51,W09-0503
K-51,W09-1318
K-51,W09-2813
K-51,W10-3104
K-51,W13-1904
K-51,W13-5009
K-51,W14-4401
K-51,W14-4423
K-52,C10-1033
K-52,E09-1063
K-52,E12-1013
K-52,P07-1037
K-52,P08-2041
K-52,P10-1016
K-52,P11-3007
K-52,W09-2301
K-52,W09-3523
K-52,W10-3707
K-52,W11-1005
K-52,W12-0113
K-52,W12-3125
K-52,W13-2222
K-52,W13-2814
K-52,W14-3325
K-53,A00-1046
K-53,A83-1009
K-53,A97-2020
K-53,H01-1068
K-53,H86-1006
K-53,H90-1103
K-53,H91-1040
K-53,H94-1102
K-53,W03-2110
K-53,W08-1508
K-53,W12-1620
K-53,X96-1020
K-54,A97-1055
K-54,D10-1042
K-54,D16-1175
K-54,P98-2216
K-54,P98-2231
K-54,P99-1004
K-54,W09-1706
K-54,W11-1303
K-54,W14-4706
K-54,W99-0903
K-55,C02-1087
K-55,C02-1155
K-55,C04-1121
K-55,C08-1004
K-55,C08-1058
K-55,C08-1111
K-55,C08-1135
K-55,C08-2004
K-55,C10-1072
K-55,C14-1049
K-55,C14-1103
K-55,C14-1128
K-55,C65-1006
K-55,C94-2172
K-55,D10-1022
K-55,D16-1023
K-55,D16-1105
K-55,E12-3002
K-55,H90-1057
K-55,I05-1028
K-55,J00-4004
K-55,J11-3005
K-55,J13-3009
K-55,N03-1001
K-55,N03-2007
K-55,N09-2044
K-55,N10-1108
K-55,N10-1120
K-55,N10-3007
K-55,N13-1078
K-55,P04-3021
K-55,P06-2079
K-55,P07-2019
K-55,P08-1027
K-55,P08-2006
K-55,P08-2034
K-55,P08-2065
K-55,P09-1027
K-55,P09-1079
K-55,P10-1043
K-55,P10-1114
K-55,P11-1151
K-55,P11-2105
K-55,P13-2076
K-55,P13-2091
K-55,P13-2142
K-55,P13-3007
K-55,P13-4023
K-55,P14-2062
K-55,P15-1042
K-55,P15-1101
K-55,P16-1095
K-55,P16-3020
K-55,P99-1015
K-55,W00-1301
K-55,W01-0709
K-55,W01-1007
K-55,W02-1507
K-55,W02-1820
K-55,W03-0201
K-55,W03-1027
K-55,W03-1104
K-55,W03-1315
K-55,W04-3239
K-55,W05-0408
K-55,W05-1009
K-55,W06-2805
K-55,W09-1125
K-55,W09-2204
K-55,W09-3305
K-55,W11-1713
K-55,W11-1717
K-55,W11-1912
K-55,W12-0604
K-55,W12-1016
K-55,W12-2507
K-55,W12-3707
K-55,W13-2714
K-55,W14-3608
K-55,W97-0127
K-55,W97-1005
K-55,X96-1033
K-56,W07-0610
K-57,C02-1064
K-57,W12-6210
K-58,C96-1046
K-58,D16-1219
K-58,J94-2004
K-58,P98-2184
K-58,S13-1042
K-58,W13-4032
K-59,A97-1020
K-59,C90-2036
K-59,C92-3144
K-59,C92-3145
K-59,H89-1047
K-59,H89-2060
K-59,J85-4002
K-59,J88-4003
K-59,N03-1026
K-59,P83-1024
K-59,P88-1019
K-59,P88-1027
K-59,W14-5207
K-60,C00-2164
K-60,P06-4002
K-60,P86-1001
K-60,W09-2811
K-60,W10-4220
K-60,W12-1501
K-60,W13-2113
K-61,C04-1021
K-61,N04-1013
K-61,P15-1118
K-61,W06-1604
K-61,W06-2902
K-61,W09-1103
K-61,W09-3306
K-61,W12-3407
K-62,C10-1027
K-62,C82-1008
K-62,C96-2187
K-62,D09-1018
K-62,D10-1051
K-62,D13-1035
K-62,E09-1056
K-62,E14-2002
K-62,J10-4013
K-62,N07-2011
K-62,N10-1058
K-62,N10-1079
K-62,P10-1027
K-62,P11-2023
K-62,P11-2096
K-62,P15-2012
K-62,P98-1117
K-62,P98-2157
K-62,P99-1006
K-62,S14-2114
K-62,W06-1807
K-62,W06-3601
K-62,W07-1530
K-62,W07-2003
K-62,W08-2122
K-62,W09-1205
K-62,W09-3019
K-62,W09-3210
K-62,W09-3421
K-62,W10-0303
K-62,W10-1410
K-62,W10-3219
K-62,W10-4307
K-62,W11-0206
K-62,W11-1602
K-62,W13-2322
K-63,C08-3011
K-63,C10-2111
K-63,C67-1018
K-63,C94-1091
K-63,H90-1077
K-63,I05-2034
K-63,N10-1106
K-63,P04-1008
K-63,W02-1801
K-63,W11-0815
K-63,W12-1607
K-63,W14-2901
K-64,S13-2101
K-64,W06-1618
K-64,W07-2017
K-64,W07-2024
K-64,W10-1808
K-64,W12-2002
K-65,C10-2079
K-66,C02-2005
K-66,C08-1083
K-66,I08-2127
K-66,J06-4003
K-66,N09-2069
K-66,P02-1021
K-66,P08-1049
K-66,P09-1102
K-66,W01-0516
K-66,W04-1102
K-66,W09-1309
K-66,W12-2406
K-66,W14-1115
K-66,W14-1209
K-66,W14-1211
K-66,W14-3418
K-67,C10-2116
K-67,C69-5801
K-67,H90-1012
K-67,P11-1146
K-67,P89-1033
K-67,W04-0840
K-67,W07-1404
K-67,W10-4222
K-67,W11-0106
K-67,W11-0121
K-67,W11-0222
K-67,W12-1511
K-67,W12-1518
K-68,C14-1059
K-68,C14-1157
K-68,D12-1054
K-68,N07-4012
K-68,P04-3029
K-68,P10-1140
K-68,P12-3017
K-68,W03-0613
K-68,W08-1123
K-68,W10-0307
K-68,W10-4012
K-68,W14-0213
K-68,W14-0901
K-68,W14-2601
K-69,C10-1005
K-70,H92-1058
K-70,W07-2218
K-70,W12-1803
K-70,W14-1807
K-70,X96-1039
K-71,C08-1009
K-71,H05-1069
K-71,I05-1081
K-71,P04-1081
K-71,P06-2119
K-71,S10-1087
K-71,W02-0807
K-71,W02-0811
K-71,W02-0812
K-71,W02-0813
K-71,W02-0814
K-71,W02-1006
K-71,W03-2808
K-71,W04-0804
K-71,W04-0807
K-71,W04-0808
K-71,W04-0813
K-71,W04-0816
K-71,W04-0819
K-71,W04-0821
K-71,W04-0825
K-71,W04-0828
K-71,W04-0835
K-71,W04-0837
K-71,W04-0839
K-71,W04-0845
K-71,W04-0850
K-71,W04-0851
K-71,W04-0855
K-71,W04-0856
K-71,W04-0857
K-71,W04-0858
K-71,W04-0859
K-71,W04-3204
K-71,W07-2043
K-71,W99-0505
K-72,D13-1181
K-72,W05-0107
K-73,D10-1039
K-73,P81-1006
K-74,C86-1053
K-74,C88-1049
K-75,D09-1098
K-75,D10-1103
K-75,I05-3019
K-75,I08-2083
K-75,J11-2003
K-75,P10-4008
K-75,P13-1073
K-75,W05-1207
K-75,W06-0130
K-76,M95-1012
K-76,W13-2304
K-76,W14-4004
K-77,C10-2039
K-77,C82-1019
K-77,C90-2019
K-77,C90-2052
K-77,H94-1055
K-77,P05-3001
K-77,P07-1042
K-77,P11-2034
K-77,T75-1004
K-77,W11-2708
K-77,W91-0101
K-77,W91-0105
K-77,W91-0106
K-77,W91-0109
K-77,W91-0110
K-77,W91-0112
K-77,W91-0113
K-78,W07-2019
K-78,W13-4006
K-79,J06-4001
K-79,J08-4008
K-79,J09-2001
K-79,J10-2007
K-79,J10-4018
K-79,J12-3009
K-79,J79-1043a
K-79,J79-1049a
K-79,J79-1055a
K-79,J79-1055b
K-79,J79-1055c
K-79,J93-1001
K-79,P82-1021
K-79,W09-0105
K-80,D08-1060
K-80,H89-2024
K-80,J93-2003
K-80,P03-1020
K-80,P03-1050
K-80,P04-1073
K-81,D11-1049
K-81,D14-1207
K-81,N06-2002
K-81,P14-1095
K-81,P14-1112
K-81,P15-1036
K-81,W06-3406
K-81,W12-2406
K-82,P02-1047
K-82,P87-1003
K-83,W00-1310
K-83,W03-0509
K-83,W04-0501
K-84,P01-1022
K-85,P10-1143
K-85,W01-1208
K-85,W11-0420
K-86,C02-2001
K-86,C10-1109
K-86,C10-2174
K-86,C10-3012
K-86,C80-1019
K-86,C82-2051
K-86,C86-1086
K-86,C92-4191
K-86,D11-1092
K-86,D14-1032
K-86,D14-1040
K-86,E14-4007
K-86,E91-1046
K-86,H93-1103
K-86,H94-1101
K-86,I08-7003
K-86,J13-2007
K-86,J89-3002
K-86,J89-3003
K-86,N03-4012
K-86,N04-3012
K-86,N10-1047
K-86,N12-2008
K-86,N15-1169
K-86,P03-2019
K-86,P04-2003
K-86,P06-1128
K-86,P09-1070
K-86,P11-5004
K-86,P14-6004
K-86,P91-1002
K-86,T75-2011
K-86,T78-1022
K-86,W03-1303
K-86,W03-1401
K-86,W03-2115
K-86,W04-0606
K-86,W04-1017
K-86,W06-2501
K-86,W07-2032
K-86,W09-0506
K-86,W09-1303
K-86,W09-1308
K-86,W09-1316
K-86,W10-0908
K-86,W11-0611
K-86,W12-0107
K-86,W12-2010
K-86,W12-2420
K-86,W12-3206
K-86,W13-2130
K-86,W13-2708
K-86,W14-2304
K-86,W14-2709
K-86,W14-4808
K-86,W14-5210
K-86,W14-6001
K-86,W14-6201
K-86,W97-1208
K-87,C04-1092
K-87,C90-3067
K-87,C94-2169
K-87,D16-1117
K-88,D14-1007
K-88,D14-1174
K-88,P15-1009
K-88,P15-1130
K-89,C02-1053
K-89,N10-1063
K-89,W02-0401
K-89,W03-0503
K-89,W03-0510
K-89,W03-1204
K-90,P96-1030
K-90,W14-0704
K-91,A92-1008
K-91,C82-2063
K-91,I08-2113
K-92,C86-1068
K-92,E85-1012
K-93,A88-1013
K-93,P08-1042
K-93,P08-5006
K-93,S13-1039
K-94,A00-2031
K-94,A00-3005
K-94,C00-2113
K-94,C00-2118
K-94,C00-2119
K-94,C14-1136
K-94,C14-1194
K-94,C67-1014
K-94,C69-6204
K-94,C73-2022
K-94,C82-1024
K-94,C82-1063
K-94,C88-1003
K-94,C90-2040
K-94,C90-3088
K-94,C92-1039
K-94,C92-3132
K-94,C92-3141
K-94,C96-2144
K-94,C96-2204
K-94,D08-1096
K-94,D09-1120
K-94,D10-1003
K-94,D10-1014
K-94,D10-1032
K-94,D10-1120
K-94,D11-1018
K-94,D12-1028
K-94,D12-1074
K-94,D12-1086
K-94,D13-1033
K-94,D16-1159
K-94,D16-1184
K-94,E87-1015
K-94,E87-1045
K-94,E99-1014
K-94,E99-1052
K-94,H05-1118
K-94,H92-1062
K-94,H92-1087
K-94,I08-2098
K-94,J01-4002
K-94,J05-1004
K-94,J11-1007
K-94,J79-1034a
K-94,J79-1034b
K-94,J79-1034c
K-94,J79-1034d
K-94,J79-1034e
K-94,J79-1034f
K-94,J85-2004
K-94,J88-1001
K-94,J89-1002
K-94,J90-3003
K-94,M92-1032
K-94,M95-1014
K-94,N06-1023
K-94,N10-1014
K-94,N10-1049
K-94,N13-1045
K-94,N15-1012
K-94,P02-1004
K-94,P03-1011
K-94,P04-1006
K-94,P04-3014
K-94,P05-1025
K-94,P05-3025
K-94,P06-1053
K-94,P06-2115
K-94,P06-3009
K-94,P08-1043
K-94,P11-1003
K-94,P11-1123
K-94,P13-1045
K-94,P13-2095
K-94,P14-1112
K-94,P14-2129
K-94,P14-5021
K-94,P81-1021
K-94,P84-1023
K-94,P84-1114
K-94,P87-1014
K-94,P93-1033
K-94,P98-1010
K-94,P98-2125
K-94,P99-1019
K-94,Q13-1018
K-94,S13-1035
K-94,W00-0717
K-94,W02-0605
K-94,W02-0905
K-94,W02-1017
K-94,W03-1006
K-94,W05-0635
K-94,W07-0605
K-94,W07-1004
K-94,W07-1204
K-94,W07-2109
K-94,W08-2112
K-94,W08-2123
K-94,W08-2126
K-94,W08-2128
K-94,W08-2130
K-94,W08-2134
K-94,W08-2135
K-94,W09-1101
K-94,W09-1207
K-94,W09-1215
K-94,W09-2301
K-94,W09-2310
K-94,W10-4114
K-94,W11-0108
K-94,W11-0131
K-94,W11-0301
K-94,W13-2607
K-94,W13-3205
K-94,W14-0803
K-94,W14-4018
K-94,W90-0103
K-94,W96-0203
K-94,W98-0308
K-94,W98-0507
K-94,W98-1303
K-94,W98-1418
K-95,W12-1524
K-95,W12-2024
K-95,W12-2026
K-95,W12-2027
K-95,W12-2028
K-95,W12-2029
K-95,W12-2030
K-95,W12-2031
K-95,W12-2034
K-95,W12-2036
K-95,W14-1713
K-96,A00-1010
K-96,C14-1158
K-96,H89-2017
K-96,H89-2073
K-96,H91-1019
K-96,H91-1034
K-96,H92-1008
K-96,H94-1010
K-96,H94-1037
K-96,H94-1103
K-96,N13-1072
K-96,P09-2052
K-96,P99-1073
K-97,A97-1056
K-97,C00-2155
K-97,C02-1074
K-97,C02-2024
K-97,C08-1074
K-97,C10-1074
K-97,C10-1093
K-97,C10-1104
K-97,C10-2088
K-97,C10-2167
K-97,C14-1076
K-97,C14-1078
K-97,C86-1002
K-97,C88-1004
K-97,C88-1009
K-97,C88-1041
K-97,C90-1013
K-97,C90-2018
K-97,C90-2072
K-97,C92-1059
K-97,C92-2076
K-97,C92-3144
K-97,C94-2143
K-97,C94-2204
K-97,D07-1127
K-97,D08-1076
K-97,D08-1097
K-97,D09-1010
K-97,D09-1160
K-97,D13-1092
K-97,D13-1152
K-97,E87-1047
K-97,E91-1007
K-97,E91-1050
K-97,E93-1005
K-97,E93-1008
K-97,E95-1011
K-97,E95-1012
K-97,E95-1025
K-97,H05-1114
K-97,H93-1065
K-97,J02-3005
K-97,J08-1002
K-97,J09-3004
K-97,J14-3002
K-97,J90-1002
K-97,J91-2001
K-97,J92-3002
K-97,N04-4002
K-97,N04-4021
K-97,N07-2047
K-97,N15-1106
K-97,N15-1121
K-97,P00-1060
K-97,P01-1054
K-97,P02-1009
K-97,P05-1024
K-97,P06-1071
K-97,P08-2052
K-97,P09-2065
K-97,P11-2004
K-97,P11-2074
K-97,P14-2095
K-97,P15-1114
K-97,P85-1037
K-97,P88-1035
K-97,P91-1033
K-97,P93-1026
K-97,P93-1027
K-97,P99-1075
K-97,S10-1018
K-97,W00-0720
K-97,W00-0735
K-97,W03-0430
K-97,W03-1706
K-97,W04-0847
K-97,W04-3223
K-97,W06-3201
K-97,W06-3603
K-97,W06-3809
K-97,W07-0710
K-97,W08-0804
K-97,W09-0209
K-97,W09-1110
K-97,W10-0216
K-97,W10-0801
K-97,W10-4216
K-97,W11-0313
K-97,W12-3108
K-97,W12-3401
K-97,W13-1616
K-97,W13-3205
K-97,W14-0818
K-97,W14-1103
K-97,W96-0211
K-97,W97-0306
K-97,W98-1238
K-97,W99-0618
K-98,C00-1055
K-98,C00-2154
K-98,C04-1059
K-98,C14-2004
K-98,C67-1017
K-98,C96-1067
K-98,D09-1105
K-98,D11-1126
K-98,D16-1026
K-98,D16-1050
K-98,H93-1091
K-98,I05-1040
K-98,I08-3020
K-98,J04-4002
K-98,N04-1023
K-98,N09-3011
K-98,P00-1077
K-98,P09-4005
K-98,P15-1001
K-98,P15-1166
K-98,P84-1051
K-98,P84-1072
K-98,P84-1086
K-98,P86-1039
K-98,W02-1605
K-98,W04-0855
K-98,W04-1404
K-98,W05-0820
K-98,W06-1608
K-98,W09-3510
K-98,W09-3519
K-98,W10-0911
K-98,W10-2413
K-98,W11-1014
K-98,W14-4012
K-98,W98-1429
K-98,X93-1018
K-99,A92-1023
K-99,C73-2002
K-99,C86-1019
K-99,C92-2122
K-99,H90-1022
K-99,H92-1064
K-99,N06-1049
K-99,N13-1045
K-99,P05-2002
K-99,P06-2027
K-99,P09-2053
K-99,P11-2124
K-99,P13-2049
K-99,P98-2148
K-99,W00-0304
K-99,W03-0203
K-99,W03-0319
K-99,W03-2008
K-99,W09-2502
K-99,W09-3008
K-99,W09-3703
K-99,W12-0605
K-99,W13-2818
K-99,W14-4912
K-99,W14-5507
K-100,D08-1108
K-100,D10-1059
K-100,P13-1078
K-100,W07-1202
K-100,W07-1203
K-101,D12-1091
K-101,D13-1017
K-101,D14-1020
K-101,M93-1008
K-101,M95-1004
K-101,P09-2060
K-101,W05-0908
K-101,W14-1601
K-101,W97-1011
K-102,W01-1010
K-102,W03-0102
K-102,W03-0104
K-102,W06-3317
K-102,W06-3900
K-102,W11-1808
K-103,W04-3229
K-104,C04-1044
K-104,C90-3052
K-104,C90-3096
K-104,C92-3130
K-104,C92-3162
K-104,C94-2123
K-104,I05-1029
K-104,P93-1043
K-104,P98-2179
K-104,P99-1019
K-104,W08-1106
K-104,W98-1410
K-105,C69-1001
K-105,W06-0202
K-106,C02-2024
K-106,C10-2013
K-106,C86-1138
K-106,C94-2143
K-106,C94-2154
K-106,C94-2179
K-106,D11-1149
K-106,E93-1003
K-106,E99-1039
K-106,P01-1019
K-106,P02-1009
K-106,P11-2090
K-106,P15-2039
K-106,P89-1001
K-106,P92-1021
K-106,P97-1001
K-107,H89-2058
K-107,H89-2059
K-107,H92-1097
K-107,H93-1079
K-107,H94-1077
K-107,P85-1007
K-108,A97-2014
K-108,C04-1137
K-108,P12-1076
K-108,P85-1038
K-109,C10-2028
K-109,C92-1024
K-109,C94-2144
K-109,D12-1066
K-109,D13-1042
K-109,D16-1144
K-109,E12-3007
K-109,E99-1012
K-109,N15-3010
K-109,P00-1060
K-109,P05-1027
K-109,P06-1122
K-109,P09-1046
K-109,P09-1114
K-109,P13-2018
K-109,P13-4023
K-109,P14-2079
K-109,P98-2169
K-109,W06-0403
K-109,W11-0215
K-109,W13-1912
K-109,W13-3609
K-109,W14-1411
K-109,W14-5412
K-109,W99-0618
K-110,P08-1114
K-110,P13-2047
K-110,W01-1409
K-110,W07-1205
K-110,W10-1711
K-110,W12-3155
K-111,P08-3006
K-111,W93-0302
K-111,W99-0308
K-112,A94-1008
K-112,C08-2018
K-112,C88-1064
K-112,H05-2012
K-112,P04-1012
K-112,P13-2044
K-112,W01-1611
K-112,W02-0210
K-112,W10-2205
K-112,W12-3123
K-112,W12-6201
K-112,W13-2121
K-112,W14-1805
K-113,P02-1016
K-113,P06-2006
K-113,W07-2203
K-114,P11-4008
K-114,W02-1801
K-115,P16-4005
K-116,D14-1103
K-116,D16-1073
K-116,N03-2027
K-116,P06-1089
K-116,P13-1083
K-116,P15-2143
K-116,P16-1147
