Question [Natural],SQL
What is title of the paper with PaperID '$PaperID$'?,SELECT DISTINCT PaperID_Title.Title FROM PaperID_Title WHERE PaperID_Title.PaperID='$PaperID$';
What is Paper ID of the paper with title '$Title$'?,SELECT DISTINCT PaperID_Title.PaperID FROM PaperID_Title WHERE PaperID_Title.Title='$Title$';
List all the Paper IDs of the paper with title starting with '$Title$'^?,SELECT DISTINCT PaperID_Title.PaperID FROM PaperID_Title WHERE PaperID_Title.Title LIKE '$Title$^%';
List all the affliates located in $Place$,SELECT DISTINCT AffiliationID_Place_Affiliation.Affiliate FROM AffiliationID_Place_Affiliation WHERE AffiliationID_Place_Affiliation.Place LIKE '%$Place$%';
How many affliates are located in $Place$,SELECT DISTINCT COUNT(*) FROM AffiliationID_Place_Affiliation WHERE AffiliationID_Place_Affiliation.Place LIKE '%$Place$%;
List all the affliates that contain '$Affiliate$'-,SELECT DISTINCT AffiliationID_Place_Affiliation.Affiliate FROM AffiliationID_Place_Affiliation WHERE AffiliationID_Place_Affiliation.Affiliate LIKE '%$Affiliate$-%';
Count all the affliates that contain '$Affiliate$'-,SELECT DISTINCT COUNT(*) FROM AffiliationID_Place_Affiliation WHERE AffiliationID_Place_Affiliation.Affiliate LIKE '%$Affiliate$-%';
What is the name of affiliate with ID $AffiliationID$ and where it is located,"SELECT DISTINCT AffiliationID_Place_Affiliation.Affiliate,AffiliationID_Place_Affiliation.Place FROM AffiliationID_Place_Affiliation WHERE AffiliationID_Place_Affiliation.AffiliationID='$AffiliationID$';"
Where is affiliate '$Affiliate$' loacted?,SELECT DISTINCT AffiliationID_Place_Affiliation.Place FROM AffiliationID_Place_Affiliation WHERE AffiliationID_Place_Affiliation.Affiliate LIKE '$Affiliate$;
List all authids with $AffiliationID$,SELECT DISTINCT AuthID_AffiliationID.AuthID FROM AuthID_AffiliationID WHERE AuthID_AffiliationID.AffiliationID='$AffiliationID$';
Count all authids with $AffiliationID$,SELECT DISTINCT COUNT(*) FROM AuthID_AffiliationID WHERE AuthID_AffiliationID.AffiliationID='$AffiliationID$';
List the number of authors affiliated with each affiliate which have more than $X$ authors.,"SELECT DISTINCT COUNT(*),AuthID_AffiliationID.AffiliationID FROM AuthID_AffiliationID GROUP BY AuthID_AffiliationID.AffiliationID HAVING Count(*) > $X$ ORDER BY COUNT(*) DESC;"
List the number of authors affiliated with each affiliate.,"SELECT DISTINCT COUNT(*),AuthID_AffiliationID.AffiliationID FROM AuthID_AffiliationID GROUP BY AuthID_AffiliationID.AffiliationID ORDER BY COUNT(*);"
Give the affiliation ID of '$AuthID$' ,SELECT DISTINCT AuthID_AffiliationID.AffiliationID FROM AuthID_AffiliationID WHERE AuthID_AffiliationID.AuthID='$AuthID$';
Give the list of author IDs in the field with the ID '$FieldID$',SELECT DISTINCT AuthID_FieldID.AuthID FROM AuthID_FieldID WHERE AuthID_FieldID.FieldID='$FieldID$';
Give number of authorids in field with '$FieldID$',SELECT DISTINCT COUNT(*) FROM AuthID_FieldID WHERE AuthID_FieldID.FieldID='$FieldID$';
List fields with the number of authors who work in it in ascending order.,"SELECT DISTINCT AuthID_FieldID.FieldID,COUNT(*) FROM AuthID_FieldID GROUP BY AuthID_FieldID.FieldID ORDER BY COUNT(*) ASC;"
List fields having greater than $Z$ authors in ascending order.,SELECT DISTINCT AuthID_FieldID.FieldID FROM AuthID_FieldID GROUP BY AuthID_FieldID.FieldID HAVING COUNT(*) > $Z$ ORDER BY COUNT(*) ASC;
List authorids which work in more than $W$ fields in ascending order.,SELECT DISTINCT AuthID_FieldID.AuthID FROM AuthID_FieldID GROUP BY AuthID_FieldID.AuthID HAVING COUNT(*)>$W$ ORDER BY COUNT(*) ASC;
What is the Name of the Author with ID '$AuthID$' ?,SELECT DISTINCT AuthID_Name.Name FROM AuthID_Name WHERE AuthID_Name.AuthID='$AuthID$';
Name the author whose ID is '$AuthID$',SELECT DISTINCT AuthID_Name.Name FROM AuthID_Name WHERE AuthID_Name.AuthID='$AuthID$';
What is the ID of the Author whose name is '$Name$' ?,SELECT DISTINCT AuthID_Name.AuthID FROM AuthID_Name WHERE AuthID_Name.Name='$Name$';
List the Authors whose name begin with '$Name$'^ ?,SELECT DISTINCT AuthID_Name.AuthID FROM AuthID_Name WHERE AuthID_Name.Name='$Name$'^';
What are the IDs of the Authors whose name begin with '$Name$'^ ?,SELECT DISTINCT AuthID_Name.AuthID FROM AuthID_Name WHERE AuthID_Name.Name LIKE '$Name$'^%';
How many author have name which begins with '$Name$'^ ?,SELECT DISTINCT COUNT(*) FROM AuthID_Name WHERE AuthID_Name.Name LIKE '$Name$'^%';
How many author have name which contains with '$Name$'& ?,SELECT DISTINCT COUNT(*) FROM AuthID_Name WHERE AuthID_Name.Name LIKE '%'$Name$'&%';
How many number of papers have been published in the conference '$ConfID$'?,SELECT DISTINCT COUNT(*) FROM ConfID_PaperID WHERE ConfID_PaperID.ConfID='$ConfID$';
List all the Conference ID with more than $X$ Papers,SELECT DISTINCT ConfID_PaperID.ConfID FROM ConfID_PaperID GROUP BY ConfID_PaperID.ConfID HAVING COUNT(*)>$X$;
What is the Conference ID of the conference in which paper of the id '$PaperID$' was published?,SELECT DISTINCT ConfID_PaperID.ConfID FROM ConfID_PaperID WHERE ConfID_PaperID.PaperID='$PaperID$';
List the paper ID of the all the paper which in the conference with ID '$ConfID$',SELECT DISTINCT ConfID_PaperID.PaperID FROM ConfID_PaperID WHERE ConfID_PaperID.ConfID='$ConfID';
How many number of papers have been published with the ID that starts with '$PaperID$'^?,SELECT DISTINCT COUNT(*) FROM ConfID_PaperID WHERE ConfID_PaperID.PaperID LIKE '$PaperID$^%';
How many number of conference have been conducted in the field '$FieldID$'?,SELECT DISTINCT COUNT(*) FROM ConfID_FieldID WHERE ConfID_FieldID.FieldID='$FieldID$';
List all the conference which has beeen conducted in the field with ID '$FieldID$',SELECT DISTINCT ConfID_FieldID.ConfID FROM ConfID_FieldID WHERE ConfID_FieldID.FieldID='$FieldID$';
List all the Field ID with more than $Y$ conferences,SELECT DISTINCT ConfID_FieldID.FieldID FROM ConfID_FieldID GROUP BY ConfID_FieldID.FieldID HAVING COUNT(*)>$Y$;
What is the Field ID in which the conference with ID '$ConfID$' is conducted?,SELECT DISTINCT ConfID_FieldID.FieldID FROM ConfID_FieldID WHERE ConfID_FieldID.ConfID='$ConfID$';
How many number of conference have ID that starts with '$ConfID$'^?,SELECT DISTINCT COUNT(*) FROM ConfID_FieldID WHERE ConfID_FieldID.ConfID LIKE '$ConfID$^%';
List all the venues where the papers are presented,SELECT DISTINCT ConfID_Venue_Year.Venue FROM ConfID_Venue_Year;
How many total conferences have been held at '$Venue$'?,SELECT DISTINCT COUNT(*) FROM ConfID_Venue_Year WHERE ConfID_Venue_Year.Venue='$Venue$';
How many total conferences are held in the year $Year$?,SELECT DISTINCT COUNT(*) FROM ConfID_Venue_Year WHERE ConfID_Venue_Year.Year=$Year$;
What is the venue for the conference with the ID '$ConfID$'?,SELECT DISTINCT ConfID_Venue_Year.Venue FROM ConfID_Venue_Year WHERE ConfID_Venue_Year.ConfID='$ConfID$';
How many conferences held before $Year$?,SELECT DISTINCT COUNT(*) FROM ConfID_Venue_Year WHERE Year<$Year$;
How many conferences held after $Year$?,SELECT DISTINCT COUNT(*) FROM ConfID_Venue_Year WHERE Year>$Year$;
Which conference was held at '$Venue$' and in 1965?,SELECT DISTINCT ConfID_Venue_Year.ConfID FROM ConfID_Venue_Year WHERE ConfID_Venue_Year.Venue=$Venue$ AND ConfID_Venue_Year.Year=1965;
List the years in the order of the years with highest to lowest conferences.,SELECT DISTINCT ConfID_Venue_Year.Year FROM ConfID_Venue_Year GROUP BY ConfID_Venue_Year.Year ORDER BY COUNT(*) DESC;
List all the field IDs.,SELECT DISTINCT FieldID_Topic.FieldID FROM FieldID_Topic;
List all the topics.,SELECT DISTINCT FieldID_Topic.Topic FROM FieldID_Topic;
What is the field ID for the topic '$Topic$'?,SELECT DISTINCT FieldID_Topic.FieldID FROM FieldID_Topic WHERE FieldID_Topic.Topic='$Topic$';
Name the topic corresponding to the Field ID '$FieldID$'.,SELECT DISTINCT FieldID_Topic.Topic FROM FieldID_Topic WHERE FieldID_Topic.FieldID='$FieldID$';
How many topics are there?,SELECT DISTINCT COUNT(*) FROM FieldID_Topic;
How many total papers are published?,SELECT DISTINCT COUNT(*) FROM KeywordID_PaperID;
How many unique keyword IDs are present?,SELECT DISTINCT COUNT(DISTINCT KeywordID_PaperID.KeywordID) FROM KeywordID_PaperID;
Which papers have the keyword ID as $KeywordID$?,SELECT DISTINCT KeywordID_PaperID.PaperID FROM KeywordID_PaperID WHERE KeywordID_PaperID.KeywordID=$KeywordID$;
List the keyword IDs with Count from highest to lowest.,SELECT DISTINCT KeywordID_PaperID.KeywordID FROM KeywordID_PaperID GROUP BY KeywordID_PaperID.KeywordID ORDER BY COUNT(KeywordID_PaperID.KeywordID) DESC;
List the Affiliation of all the authors ?,"SELECT DISTINCT AffiliationID_Place_Affiliation.Affiliate,AuthID_Name.Name FROM AuthID_AffiliationID JOIN AuthID_Name ON AuthID_AffiliationID.AuthID=AuthID_Name.AuthID JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID);"
List all the affiliation of the author '$Name$'.,SELECT DISTINCT AffiliationID_Place_Affiliation.Affiliate FROM AuthID_AffiliationID JOIN AuthID_Name ON AuthID_AffiliationID.AuthID=AuthID_Name.AuthID) JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID WHERE AuthID_Name.Name='$Name$';
List all the authors of the affiliate '$Affiliate$'.,SELECT DISTINCT AuthID_Name.Name FROM AuthID_AffiliationID JOIN AuthID_Name ON AuthID_AffiliationID.AuthID=AuthID_Name.AuthID JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID WHERE AffiliationID_Place_Affiliation.Affiliate='$Affiliate$';
How many authors does the '$Affiliate$' affiliate have?,SELECT DISTINCT COUNT(*) FROM AuthID_AffiliationID JOIN AuthID_Name ON AuthID_AffiliationID.AuthID=AuthID_Name.AuthID JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID WHERE AffiliationID_Place_Affiliation.Affiliate='$Affiliate$' GROUP BY AffiliationID_Place_Affiliation.Affiliate;
How many affiliate has the author '$Name$' been related with?,SELECT DISTINCT COUNT(*) FROM AuthID_AffiliationID JOIN AuthID_Name ON AuthID_AffiliationID.AuthID=AuthID_Name.AuthID JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID WHERE AuthID_Name.Name='$Name$' GROUP BY AuthID_Name.Name;
List all the authors from $Place$,SELECT DISTINCT AuthID_Name.Name FROM AuthID_AffiliationID JOIN AuthID_Name ON AuthID_AffiliationID.AuthID=AuthID_Name.AuthID JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID WHERE AffiliationID_Place_Affiliation.Place='$Place$';
Which place is author '$Name$' from?,SELECT DISTINCT AffiliationID_Place_Affiliation.Place FROM AuthID_AffiliationID JOIN AuthID_Name ON AuthID_AffiliationID.AuthID=AuthID_Name.AuthID JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID WHERE AuthID_Name.Name='$Name$';
How many authors are from $Place$?,SELECT DISTINCT COUNT(DISTINCT AuthID_Name.Name) FROM AuthID_AffiliationID JOIN AuthID_Name ON AuthID_AffiliationID.AuthID=AuthID_Name.AuthID JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID WHERE AffiliationID_Place_Affiliation.Place='$Place$';
List all affiliates having more than $X$ authors.,SELECT DISTINCT AffiliationID_Place_Affiliation.Affiliate FROM AuthID_AffiliationID JOIN AuthID_Name ON AuthID_AffiliationID.AuthID=AuthID_Name.AuthID JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID GROUP BY AffiliationID_Place_Affiliation.Affiliate HAVING COUNT(*)>$X$;
List all places having more than $X$ authors.,SELECT DISTINCT AffiliationID_Place_Affiliation.Place FROM AuthID_AffiliationID JOIN AuthID_Name ON AuthID_AffiliationID.AuthID=AuthID_Name.AuthID JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID GROUP BY AffiliationID_Place_Affiliation.Place HAVING COUNT(*)>$X$;
How many different field does the affiliate '$Affiliate$' work on?,SELECT DISTINCT COUNT(DISTINCT FieldID_Topic.Topic) FROM AuthID_AffiliationID JOIN AuthID_FieldID ON AuthID_AffiliationID.AuthID=AuthID_FieldID.AuthID JOIN FieldID_Topic ON AuthID_FieldID.FieldID=FieldID_Topic.FieldID JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID WHERE AffiliationID_Place_Affiliation.Affiliate='$Affiliate$' GROUP BY AffiliationID_Place_Affiliation.Affiliate;
What are the fields does the affiliate '$Affiliate$' work on?,SELECT DISTINCT FieldID_Topic.Topic FROM AuthID_AffiliationID JOIN AuthID_FieldID ON AuthID_AffiliationID.AuthID=AuthID_FieldID.AuthID JOIN FieldID_Topic ON AuthID_FieldID.FieldID=FieldID_Topic.FieldID JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID WHERE AffiliationID_Place_Affiliation.Affiliate='$Affiliate$';
How many affiliates work on the field '$Topic$'?,SELECT DISTINCT COUNT(DISTINCT AffiliationID_Place_Affiliation.Affiliate) FROM AuthID_AffiliationID JOIN AuthID_FieldID ON AuthID_AffiliationID.AuthID=AuthID_FieldID.AuthID JOIN FieldID_Topic ON AuthID_FieldID.FieldID=FieldID_Topic.FieldID JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID WHERE FieldID_Topic.Topic='$Topic$' GROUP BY FieldID_Topic.Topic;
List the affiliates which work on the field '$Topic$',SELECT DISTINCT AffiliationID_Place_Affiliation.Affiliate FROM AuthID_AffiliationID JOIN AuthID_FieldID ON AuthID_AffiliationID.AuthID=AuthID_FieldID.AuthID JOIN FieldID_Topic ON AuthID_FieldID.FieldID=FieldID_Topic.FieldID JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID WHERE FieldID_Topic.Topic='$Topic$';
What are the fields does the affiliates in the place $Place$ work on?,SELECT DISTINCT FieldID_Topic.Topic FROM AuthID_AffiliationID JOIN AuthID_FieldID ON AuthID_AffiliationID.AuthID=AuthID_FieldID.AuthID JOIN FieldID_Topic ON AuthID_FieldID.FieldID=FieldID_Topic.FieldID JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID WHERE AffiliationID_Place_Affiliation.Place='$Place$';
List the affiliates with the number of authors working on the field '$Topic$',"SELECT DISTINCT COUNT(*),AffiliationID_Place_Affiliation.Affiliate FROM AuthID_AffiliationID JOIN AuthID_FieldID ON AuthID_AffiliationID.AuthID=AuthID_FieldID.AuthID JOIN FieldID_Topic ON AuthID_FieldID.FieldID=FieldID_Topic.FieldID JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID WHERE FieldID_Topic.Topic='$Topic$' GROUP BY AffiliationID_Place_Affiliation.Affiliate;"
List the author from affiliate '$Affiliate$' who work on the field 'Dialogue and Discourse',SELECT DISTINCT AuthID_Name.Name FROM AuthID_AffiliationID JOIN AuthID_FieldID ON AuthID_AffiliationID.AuthID=AuthID_FieldID.AuthID JOIN FieldID_Topic ON AuthID_FieldID.FieldID=FieldID_Topic.FieldID JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID JOIN AuthID_Name ON AuthID_Name.AuthID=AuthID_AffiliationID.AuthID)WHERE FieldID_Topic.Topic='Dialogue and Discourse' AND AffiliationID_Place_Affiliation.Affiliate='$Affiliate$';
List the authors who on the field 'Dialogue and Discourse' and are from affiliate '$Affiliate$',SELECT DISTINCT AuthID_Name.Name FROM AuthID_AffiliationID JOIN AuthID_FieldID ON AuthID_AffiliationID.AuthID=AuthID_FieldID.AuthID JOIN FieldID_Topic ON AuthID_FieldID.FieldID=FieldID_Topic.FieldID JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID JOIN AuthID_Name ON AuthID_Name.AuthID=AuthID_AffiliationID.AuthID WHERE FieldID_Topic.Topic='Dialogue and Discourse' AND AffiliationID_Place_Affiliation.Affiliate='$Affiliate$';
List the authors who on the field 'Dialogue and Discourse' and are from affiliate in the place $Place$,SELECT DISTINCT AuthID_Name.Name FROM AuthID_AffiliationID JOIN AuthID_FieldID ON AuthID_AffiliationID.AuthID=AuthID_FieldID.AuthID JOIN FieldID_Topic ON AuthID_FieldID.FieldID=FieldID_Topic.FieldID JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID JOIN AuthID_Name ON AuthID_Name.AuthID=AuthID_AffiliationID.AuthID WHERE FieldID_Topic.Topic='Dialogue and Discourse' AND AffiliationID_Place_Affiliation.Place='$Place$';
List the title of the papers along with their summaries.,"SELECT DISTINCT PaperID_Title.Title,PaperID_Summary.Summary FROM PaperID_Title JOIN PaperID_Summary ON PaperID_Title.PaperID=PaperID_Summary.PaperID"
List the Author IDs along with the title of their research papers.,"SELECT DISTINCT PaperID_AuthID.AuthID,PaperID_Title.Title FROM PaperID_AuthID JOIN PaperID_Title ON PaperID_Title.PaperID=PaperID_AuthID.PaperID"
List the title of the papers published by the author with the Author ID '$AuthID$'.,SELECT DISTINCT PaperID_Title.Title FROM PaperID_AuthID JOIN PaperID_Title ON PaperID_Title.PaperID=PaperID_AuthID.PaperID WHERE PaperID_AuthID.AuthID='$AuthID$'
List the title of the papers published by '$Name$'.,SELECT DISTINCT PaperID_Title.Title FROM AuthID_Name JOIN PaperID_AuthID ON AuthID_Name.AuthID=PaperID_AuthID.AuthID JOIN PaperID_Title ON PaperID_Title.PaperID=PaperID_AuthID.PaperID WHERE AuthID_Name.Name='$Name$'
List the titles along with the summaries of the papers published by '$Name$',"SELECT DISTINCT PaperID_Title.Title,PaperID_Summary.Summary FROM AuthID_Name JOIN PaperID_AuthID ON AuthID_Name.AuthID=PaperID_AuthID.AuthID JOIN PaperID_Title ON PaperID_Title.PaperID=PaperID_AuthID.PaperID JOIN PaperID_Summary ON PaperID_Summary.PaperID=PaperID_Title.PaperID WHERE AuthID_Name.Name='$Name$'"
How many papers were published by '$Name$'?,SELECT DISTINCT COUNT(*) FROM AuthID_Name JOIN PaperID_AuthID ON AuthID_Name.AuthID=PaperID_AuthID.AuthID JOIN PaperID_Title ON PaperID_Title.PaperID=PaperID_AuthID.PaperID WHERE AuthID_Name.Name='$Name$'
What is the name of the author who published the paper with paper ID '$PaperID$'?,SELECT DISTINCT AuthID_Name.Name FROM AuthID_Name JOIN PaperID_AuthID ON AuthID_Name.AuthID=PaperID_AuthID.AuthID WHERE PaperID_AuthID.PaperID='$PaperID$'
List the name of the authors working in the field with field ID '$FieldID$'.,SELECT DISTINCT AuthID_Name.Name FROM AuthID_FieldID JOIN AuthID_Name ON AuthID_FieldID.AuthID=AuthID_Name.AuthID WHERE AuthID_FieldID.FieldID='$FieldID$'
List the field IDs of the papers published by '$Name$'.,SELECT DISTINCT AuthID_FieldID.FieldID FROM AuthID_FieldID JOIN AuthID_Name ON AuthID_FieldID.AuthID=AuthID_Name.AuthID WHERE AuthID_Name.Name='$Name$'
Which field topics do the papers published by '$Name$' belong to?,SELECT DISTINCT FieldID_Topic.Topic FROM FieldID_Topic JOIN AuthID_FieldID ON FieldID_Topic.FieldID=AuthID_FieldID.FieldID JOIN AuthID_Name ON AuthID_FieldID.AuthID=AuthID_Name.AuthID WHERE AuthID_Name.Name='$Name$'
List the title of the papers that come under the field topic '$Topic$'.,SELECT DISTINCT PaperID_Title.Title FROM PaperID_Title JOIN PaperID_AuthID ON PaperID_Title.PaperID=PaperID_AuthID.PaperID JOIN AuthID_FieldID ON PaperID_AuthID.AuthID=AuthID_FieldID.AuthID JOIN FieldID_Topic ON FieldID_Topic.FieldID=AuthID_FieldID.FieldID WHERE FieldID_Topic.Topic='$Topic$'
How many papers are published under the topic '$Topic$'?,SELECT DISTINCT COUNT(*) FROM PaperID_Title JOIN PaperID_AuthID ON PaperID_Title.PaperID=PaperID_AuthID.PaperID JOIN AuthID_FieldID ON PaperID_AuthID.AuthID=AuthID_FieldID.AuthID JOIN FieldID_Topic ON FieldID_Topic.FieldID=AuthID_FieldID.FieldID WHERE FieldID_Topic.Topic='$Topic$'
How many authors have published under the topic '$Topic$'?,SELECT DISTINCT COUNT(*) FROM AuthID_FieldID JOIN AuthID_Name ON AuthID_FieldID.AuthID=AuthID_Name.AuthID WHERE AuthID_FieldID.FieldID='$FieldID$'
List the title of the papers that come under the field with field ID '$FieldID$'.,SELECT DISTINCT PaperID_Title.Title FROM PaperID_Title JOIN PaperID_AuthID ON PaperID_Title.PaperID=PaperID_AuthID.PaperID JOIN AuthID_FieldID ON PaperID_AuthID.AuthID=AuthID_FieldID.AuthID WHERE AuthID_FieldID.FieldID='$FieldID$'
How many papers have been published under the field ID '$FieldID$'?,SELECT DISTINCT COUNT(*) FROM PaperID_Title JOIN PaperID_AuthID ON PaperID_Title.PaperID=PaperID_AuthID.PaperID JOIN AuthID_FieldID ON PaperID_AuthID.AuthID=AuthID_FieldID.AuthID WHERE AuthID_FieldID.FieldID='$FieldID$'
List the name of the authors of papers with the field ID '$FieldID$'.,SELECT DISTINCT(AuthID_Name.Name) FROM AuthID_Name JOIN PaperID_AuthID ON AuthID_Name.AuthID=PaperID_AuthID.AuthID JOIN AuthID_FieldID ON PaperID_AuthID.AuthID=AuthID_FieldID.AuthID WHERE AuthID_FieldID.FieldID='$FieldID$'
List the field topics that the paper with the ID '$PaperID$'.,SELECT DISTINCT FieldID_Topic.Topic FROM PaperID_AuthID JOIN AuthID_FieldID ON PaperID_AuthID.AuthID=AuthID_FieldID.AuthID JOIN FieldID_Topic ON AuthID_FieldID.FieldID=FieldID_Topic.FieldID WHERE PaperID='$PaperID$'
List the Paper IDs that fall under the field ID '$FieldID$'.,SELECT DISTINCT PaperID_AuthID.PaperID FROM PaperID_AuthID JOIN AuthID_FieldID ON PaperID_AuthID.AuthID=AuthID_FieldID.AuthID WHERE AuthID_FieldID.FieldID='$FieldID$'
How many papers are published in the field with field ID '$FieldID$'?,SELECT DISTINCT COUNT(*) FROM PaperID_AuthID JOIN AuthID_FieldID ON PaperID_AuthID.AuthID=AuthID_FieldID.AuthID WHERE AuthID_FieldID.FieldID='$FieldID$'
Who wrote the paper with the title '$Title$'?,SELECT DISTINCT AuthID_Name.Name FROM AuthID_Name JOIN PaperID_AuthID ON PaperID_AuthID.AuthID=AuthID_Name.AuthID JOIN PaperID_Title on PaperID_AuthID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title='$Title$'
Give summary of paper '$Title$'.,SELECT DISTINCT PaperID_Summary.Summary FROM PaperID_Summary JOIN PaperID_Title ON PaperID_Title.PaperID=PaperID_Summary.PaperID WHERE PaperID_Title.Title LIKE '$Title$'
List all the conference ID on field topic '$Topic$'.,SELECT DISTINCT ConfID_Venue_Year.ConfID FROM ConfID_Venue_Year JOIN ConfID_FieldID ON ConfID_Venue_Year.ConfID=ConfID_FieldID.ConfID JOIN FieldID_Topic ON ConfID_FieldID.FieldID=FieldID_Topic.FieldID Where FieldID_Topic.Topic Like '$Topic$'
Count all conferences on the field $Topic$,SELECT DISTINCT COUNT(*) FROM ConfID_Venue_Year JOIN ConfID_FieldID ON ConfID_Venue_Year.ConfID=ConfID_FieldID.ConfID JOIN FieldID_Topic ON ConfID_FieldID.FieldID=FieldID_Topic.FieldID Where FieldID_Topic.Topic Like '$Topic$' 
