,Natural,SQL
18,List all the papers which are written by author of authorID A-11779.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-11779'
19,List all the papers which are written by author of authorID A-9203.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-9203'
20,List all the papers which are written by author of authorID A-15411.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-15411'
21,List all the papers which are written by author of authorID A-15322.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-15322'
22,List all the papers which are written by author of authorID A-7935.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-7935'
23,List all the papers which are written by author of authorID A-5052.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-5052'
24,List all the papers which are written by author of authorID A-10298.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-10298'
25,List all the papers which are written by author of authorID A-3004.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-3004'
26,List all the papers which are written by author of authorID A-17367.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-17367'
27,List all the papers which are written by author of authorID A-11774.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-11774'
28,List all the papers which are written by author of authorID A-11248.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-11248'
29,List all the papers which are written by author of authorID A-2182.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-2182'
30,List all the papers which are written by author of authorID A-15382.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-15382'
31,List all the papers which are written by author of authorID A-8767.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-8767'
32,List all the papers which are written by author of authorID A-11555.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-11555'
33,List all the papers which are written by author of authorID A-6142.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-6142'
34,List all the papers which are written by author of authorID A-8210.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-8210'
35,What are the papers written by A-9331?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-9331'
36,What are the papers written by A-3116?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-3116'
37,What are the papers written by A-3179?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-3179'
38,What are the papers written by A-12137?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-12137'
39,What are the papers written by A-11295?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-11295'
40,What are the papers written by A-8679?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-8679'
41,What are the papers written by A-1093?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-1093'
42,What are the papers written by A-4925?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-4925'
43,What are the papers written by A-12102?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-12102'
44,What are the papers written by A-17404?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-17404'
45,What are the papers written by A-797?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-797'
46,What are the papers written by A-3727?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-3727'
47,What are the papers written by A-6694?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-6694'
48,What are the papers written by A-12590?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-12590'
49,What are the papers written by A-9867?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-9867'
50,What are the papers written by A-12225?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-12225'
51,What are the papers written by A-11564?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-11564'
52,What are the papers written by A-14868?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-14868'
53,What are the papers written by A-11213?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-11213'
54,What are the papers written by A-14961?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-14961'
55,What are the papers written by A-9760?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-9760'
56,What are the papers written by A-6354?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-6354'
57,What are the papers written by A-4?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-4'
58,What are the papers written by A-2875?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-2875'
59,What are the papers written by A-500?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-500'
60,What are the papers written by A-10873?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-10873'
61,What are the papers written by A-5205?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-5205'
62,What are the papers written by A-10191?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-10191'
63,What are the papers written by A-2542?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-2542'
64,What are the papers written by A-6522?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-6522'
65,What are the papers written by A-10382?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-10382'
66,What are the papers written by A-17283?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-17283'
67,What are the papers written by A-16836?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-16836'
68,What are the papers written by A-4551?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-4551'
69,What are the papers written by A-2189?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-2189'
70,How many papers are written by A-3045?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-3045'
71,How many papers are written by A-14445?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-14445'
72,How many papers are written by A-8701?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-8701'
73,How many papers are written by A-12451?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-12451'
74,How many papers are written by A-12764?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-12764'
75,How many papers are written by A-15207?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-15207'
76,How many papers are written by A-11105?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-11105'
77,How many papers are written by A-17992?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-17992'
78,How many papers are written by A-8490?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-8490'
79,How many papers are written by A-1991?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-1991'
80,How many papers are written by A-6590?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-6590'
81,How many papers are written by A-9654?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-9654'
82,How many papers are written by A-9445?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-9445'
83,How many papers are written by A-5898?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-5898'
84,How many papers are written by A-12825?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-12825'
85,How many papers are written by A-4959?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-4959'
86,How many papers are written by A-15662?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-15662'
87,How many papers are written by A-9508?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-9508'
88,How many papers are written by A-3438?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-3438'
89,How many papers are written by A-10420?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-10420'
90,How many papers are written by A-18382?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-18382'
91,How many papers are written by A-15648?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-15648'
92,How many papers are written by A-18069?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-18069'
93,How many papers are written by A-3469?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-3469'
94,How many papers are written by A-16823?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-16823'
95,How many papers are written by A-8760?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-8760'
96,How many papers are written by A-14252?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-14252'
97,How many papers are written by A-10392?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-10392'
98,How many papers are written by A-5460?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-5460'
99,How many papers are written by A-14760?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-14760'
100,How many papers are written by A-1261?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-1261'
101,How many papers are written by A-18645?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-18645'
102,How many papers are written by A-3611?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-3611'
103,How many papers are written by A-1255?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-1255'
104,How many papers are written by A-5400?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-5400'
105,List all the authors who contributed to paper W08-1501,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W08-1501' 
106,List all the authors who contributed to paper W08-1125,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W08-1125' 
107,List all the authors who contributed to paper H93-1066,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'H93-1066' 
108,List all the authors who contributed to paper W13-2501,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W13-2501' 
109,List all the authors who contributed to paper D08-1019,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'D08-1019' 
110,List all the authors who contributed to paper J09-4008,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'J09-4008' 
111,List all the authors who contributed to paper N15-2008,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'N15-2008' 
112,List all the authors who contributed to paper S10-1025,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'S10-1025' 
113,List all the authors who contributed to paper D13-1141,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'D13-1141' 
114,List all the authors who contributed to paper P05-1010,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'P05-1010' 
115,List all the authors who contributed to paper N07-1027,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'N07-1027' 
116,List all the authors who contributed to paper I08-1019,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'I08-1019' 
117,List all the authors who contributed to paper C10-3003,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'C10-3003' 
118,List all the authors who contributed to paper W05-1107,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W05-1107' 
119,List all the authors who contributed to paper C10-1103,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'C10-1103' 
120,List all the authors who contributed to paper P06-1026,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'P06-1026' 
121,List all the authors who contributed to paper W10-4155,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W10-4155' 
122,List all the authors who contributed to paper P98-1071,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'P98-1071' 
123,List all the authors who contributed to paper N09-1022,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'N09-1022' 
124,List all the authors who contributed to paper L08-1102,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'L08-1102' 
125,List all the authors who contributed to paper H94-1002,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'H94-1002' 
126,List all the authors who contributed to paper W10-1407,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W10-1407' 
127,List all the authors who contributed to paper H93-1107,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'H93-1107' 
128,List all the authors who contributed to paper C90-3022,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'C90-3022' 
129,List all the authors who contributed to paper C02-1027,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'C02-1027' 
130,List all the authors who contributed to paper H91-1091,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'H91-1091' 
131,List all the authors who contributed to paper H01-1021,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'H01-1021' 
132,List all the authors who contributed to paper J00-2003,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'J00-2003' 
133,List all the authors who contributed to paper P12-1007,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'P12-1007' 
134,List all the authors who contributed to paper W11-1828,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W11-1828' 
135,List all the authors who contributed to paper W13-1402,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W13-1402' 
136,List all the authors who contributed to paper E91-1024,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'E91-1024' 
137,List all the authors who contributed to paper W13-1902,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W13-1902' 
138,List all the authors who contributed to paper W11-0212,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W11-0212' 
139,List all the authors who contributed to paper S13-1019,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'S13-1019' 
140,List all the authors who contributed to paper W07-1020,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W07-1020' 
141,List all the authors who contributed to paper J79-1007,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'J79-1007' 
142,List all the authors who contributed to paper P09-2017,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'P09-2017' 
143,List all the authors who contributed to paper W06-1802,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W06-1802' 
144,List all the authors who contributed to paper P14-1122,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'P14-1122' 
145,List all the authors who contributed to paper E12-1048,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'E12-1048' 
146,How many authors contributed to paper W05-0904,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W05-0904' 
147,How many authors contributed to paper W08-1306,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W08-1306' 
148,How many authors contributed to paper I05-2049,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'I05-2049' 
149,How many authors contributed to paper W14-4807,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W14-4807' 
150,How many authors contributed to paper P09-3012,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'P09-3012' 
151,How many authors contributed to paper C88-1026,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'C88-1026' 
152,How many authors contributed to paper W11-1825,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W11-1825' 
153,How many authors contributed to paper I08-4006,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'I08-4006' 
154,How many authors contributed to paper H92-1117,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'H92-1117' 
155,How many authors contributed to paper E09-1051,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'E09-1051' 
156,How many authors contributed to paper N15-2018,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'N15-2018' 
157,How many authors contributed to paper P11-2086,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'P11-2086' 
158,How many authors contributed to paper J12-2004,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'J12-2004' 
159,How many authors contributed to paper W04-0844,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W04-0844' 
160,How many authors contributed to paper W12-1612,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W12-1612' 
161,How many authors contributed to paper C10-1079,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'C10-1079' 
162,How many authors contributed to paper W11-0910,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W11-0910' 
163,How many authors contributed to paper J79-1005,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'J79-1005' 
164,How many authors contributed to paper W04-2704,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W04-2704' 
165,How many authors contributed to paper W10-1723,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W10-1723' 
166,How many authors contributed to paper S10-1095,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'S10-1095' 
167,How many authors contributed to paper W97-0902,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W97-0902' 
168,How many authors contributed to paper W11-1107,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W11-1107' 
169,How many authors contributed to paper J96-4002,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'J96-4002' 
170,How many authors contributed to paper N10-1004,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'N10-1004' 
171,How many authors contributed to paper N15-2020,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'N15-2020' 
172,How many authors contributed to paper P11-2091,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'P11-2091' 
173,How many authors contributed to paper W07-0208,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W07-0208' 
174,How many authors contributed to paper W02-1712,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W02-1712' 
175,How many authors contributed to paper D10-1075,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'D10-1075' 
176,How many authors contributed to paper A00-2024,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'A00-2024' 
177,How many authors contributed to paper C10-2094,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'C10-2094' 
178,How many authors contributed to paper I08-2144,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'I08-2144' 
179,How many authors contributed to paper H92-1005,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'H92-1005' 
180,How many authors contributed to paper P85-1007,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'P85-1007' 
181,How many authors contributed to paper W04-2203,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W04-2203' 
182,How many authors contributed to paper W05-0304,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W05-0304' 
183,How many authors contributed to paper P14-1024,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'P14-1024' 
184,How many authors contributed to paper W10-4328,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W10-4328' 
185,How many authors contributed to paper C82-2036,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'C82-2036' 
186,How many authors contributed to paper D10-1060,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'D10-1060' 
187,List all the authors for P98-1016,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'P98-1016' 
188,List all the authors for S10-1033,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'S10-1033' 
189,List all the authors for J01-2003,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'J01-2003' 
190,List all the authors for C94-1026,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'C94-1026' 
191,List all the authors for W08-1118,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W08-1118' 
192,List all the authors for W97-1404,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W97-1404' 
193,List all the authors for P07-2039,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'P07-2039' 
194,List all the authors for P10-1040,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'P10-1040' 
195,List all the authors for C10-1057,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'C10-1057' 
196,List all the authors for W09-0439,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W09-0439' 
197,List all the authors for W04-3222,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W04-3222' 
198,List all the authors for C00-1035,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'C00-1035' 
199,List all the authors for E99-1034,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'E99-1034' 
200,List all the authors for P10-1049,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'P10-1049' 
201,List all the authors for J99-4006,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'J99-4006' 
202,List all the authors for W05-0814,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W05-0814' 
203,List all the authors for P00-1056,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'P00-1056' 
204,List all the authors for C10-2091,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'C10-2091' 
205,List all the authors for C10-1057,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'C10-1057' 
206,List all the authors for W98-0601,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W98-0601' 
207,List all the authors for W13-2120,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W13-2120' 
208,List all the authors for W13-0907,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W13-0907' 
209,List all the authors for D09-1068,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'D09-1068' 
210,List all the authors for W12-0401,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W12-0401' 
211,List all the authors for P84-1066,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'P84-1066' 
212,List all the authors for C08-1022,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'C08-1022' 
213,List all the authors for W00-1208,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W00-1208' 
214,List all the authors for A00-1038,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'A00-1038' 
215,List all the authors for C82-2018,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'C82-2018' 
216,List all the authors for W10-0211,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W10-0211' 
217,List all the authors for P14-2024,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'P14-2024' 
218,List all the authors for W13-1720,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W13-1720' 
219,List all the authors for W13-3410,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W13-3410' 
220,List all the authors for P08-2068,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'P08-2068' 
221,List all the authors for P12-1008,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'P12-1008' 
222,List all the authors for T87-1007,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'T87-1007' 
223,List all the authors for P08-4009,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'P08-4009' 
224,List all the authors for P98-2250,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'P98-2250' 
225,List all the authors for H91-1068,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'H91-1068' 
226,List all the authors for D13-1038,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'D13-1038' 
227,List all the authors for P13-2087,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'P13-2087' 
228,What is the number of Authors of P96-1013,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'P96-1013' 
229,What is the number of Authors of I08-4006,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'I08-4006' 
230,What is the number of Authors of W98-0714,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W98-0714' 
231,What is the number of Authors of W98-1427,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W98-1427' 
232,What is the number of Authors of C02-1115,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'C02-1115' 
233,What is the number of Authors of H93-1036,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'H93-1036' 
234,What is the number of Authors of P98-2146,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'P98-2146' 
235,What is the number of Authors of C86-1142,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'C86-1142' 
236,What is the number of Authors of W01-0909,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W01-0909' 
237,What is the number of Authors of W14-4813,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W14-4813' 
238,What is the number of Authors of W12-3809,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W12-3809' 
239,What is the number of Authors of P11-2074,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'P11-2074' 
240,What is the number of Authors of P12-2057,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'P12-2057' 
241,What is the number of Authors of C08-1117,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'C08-1117' 
