Question,SQL
List the Affiliation of all the authors ?,"SELECT AffiliationID_Place_Affiliation.Affiliate,AuthID_Name.Name FROM ((AuthID_AffiliationID JOIN AuthID_Name ON AuthID_AffiliationID.AuthID = AuthID_Name.AuthID) JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID = AuthID_AffiliationID.AffiliationID);"
List all the affiliation of the author $Name$.,"SELECT AffiliationID_Place_Affiliation.Affiliate,AuthID_Name.Name FROM ((AuthID_AffiliationID JOIN AuthID_Name ON AuthID_AffiliationID.AuthID = AuthID_Name.AuthID) JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID = AuthID_AffiliationID.AffiliationID) WHERE AuthID_Name.Name=""$Name$"";"
List all the authors of the affiliate $Affiliate$.,"SELECT AffiliationID_Place_Affiliation.Affiliate,AuthID_Name.Name FROM ((AuthID_AffiliationID JfOIN AuthID_Name ON AuthID_AffiliationID.AuthID = AuthID_Name.AuthID) JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID = AuthID_AffiliationID.AffiliationID) WHERE AffiliationID_Place_Affiliation.Affiliate=""$Affiliate$"";"
How many authors does the $Affiliate$ affiliate have?,"SELECT COUNT(DISTINCT AuthID_Name.Name) FROM ((AuthID_AffiliationID JOIN AuthID_Name ON AuthID_AffiliationID.AuthID = AuthID_Name.AuthID) JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID = AuthID_AffiliationID.AffiliationID) WHERE AffiliationID_Place_Affiliation.Affiliate=""$Affiliate$"" GROUP BY AffiliationID_Place_Affiliation.Affiliate;"
How many affiliate has the author $Name$ been related with?,"SELECT COUNT(DISTINCT AffiliationID_Place_Affiliation.Affiliate) FROM ((AuthID_AffiliationID JOIN AuthID_Name ON AuthID_AffiliationID.AuthID = AuthID_Name.AuthID) JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID = AuthID_AffiliationID.AffiliationID) WHERE AuthID_Name.Name=""$Name$"" GROUP BY AuthID_Name.Name;"
List all the authors from $Place$,"SELECT AuthID_Name.Name FROM ((AuthID_AffiliationID JOIN AuthID_Name ON AuthID_AffiliationID.AuthID = AuthID_Name.AuthID) JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID = AuthID_AffiliationID.AffiliationID) WHERE AffiliationID_Place_Affiliation.Place=""$Place$"";"
Which place is author $Name$ from?,"SELECT AffiliationID_Place_Affiliation.Place FROM ((AuthID_AffiliationID JOIN AuthID_Name ON AuthID_AffiliationID.AuthID = AuthID_Name.AuthID) JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID = AuthID_AffiliationID.AffiliationID) WHERE AuthID_Name.Name=""$Name$"";"
How many authors are from $Place$?,"SELECT COUNT(DISTINCT AuthID_Name.Name) FROM ((AuthID_AffiliationID JOIN AuthID_Name ON AuthID_AffiliationID.AuthID = AuthID_Name.AuthID) JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID = AuthID_AffiliationID.AffiliationID) WHERE AffiliationID_Place_Affiliation.Place=""$Affiliate$"";"
List all affiliates having more than $X$ authors.,"SELECT AffiliationID_Place_Affiliation.Affiliate,COUNT(DISTINCT AuthID_Name.Name) as `Number of Authors` FROM ((AuthID_AffiliationID JOIN AuthID_Name ON AuthID_AffiliationID.AuthID = AuthID_Name.AuthID) JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID = AuthID_AffiliationID.AffiliationID) GROUP BY AffiliationID_Place_Affiliation.Affiliate HAVING `Number of Authors`>$X$;"
List all places having more than $X$ authors.,"SELECT AffiliationID_Place_Affiliation.Place,COUNT(DISTINCT AuthID_Name.Name) as `Number of Authors` FROM ((AuthID_AffiliationID JOIN AuthID_Name ON AuthID_AffiliationID.AuthID = AuthID_Name.AuthID) JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID = AuthID_AffiliationID.AffiliationID) GROUP BY AffiliationID_Place_Affiliation.Place HAVING `Number of Authors`>$X$;"
How many different field does the affiliate $Affiliate$ work on?,"SELECT AffiliationID_Place_Affiliation.Affiliate,COUNT(DISTINCT FieldID_Topic.Topic) FROM (((AuthID_AffiliationID JOIN AuthID_FieldID ON AuthID_AffiliationID.AuthID = AuthID_FieldID.AuthID) JOIN FieldID_Topic ON AuthID_FieldID.FieldID = FieldID_Topic.FieldID) JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID) WHERE AffiliationID_Place_Affiliation.Affiliate=""$Affiliate$"" GROUP BY AffiliationID_Place_Affiliation.Affiliate;"
What are the fields does the affiliate $Affiliate$ work on?,"SELECT DISTINCT AffiliationID_Place_Affiliation.Affiliate, FieldID_Topic.Topic FROM (((AuthID_AffiliationID JOIN AuthID_FieldID ON AuthID_AffiliationID.AuthID = AuthID_FieldID.AuthID) JOIN FieldID_Topic ON AuthID_FieldID.FieldID = FieldID_Topic.FieldID) JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID) WHERE AffiliationID_Place_Affiliation.Affiliate=""$Affiliate$"";"
How many affiliates work on the field $Topic$?,"SELECT COUNT(DISTINCT AffiliationID_Place_Affiliation.Affiliate),FieldID_Topic.Topic FROM (((AuthID_AffiliationID JOIN AuthID_FieldID ON AuthID_AffiliationID.AuthID = AuthID_FieldID.AuthID) JOIN FieldID_Topic ON AuthID_FieldID.FieldID = FieldID_Topic.FieldID) JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID) WHERE FieldID_Topic.Topic=""$Topic$"" GROUP BY FieldID_Topic.Topic;"
List the affiliates which work on the field $Topic$,"SELECT DISTINCT AffiliationID_Place_Affiliation.Affiliate,FieldID_Topic.Topic FROM (((AuthID_AffiliationID JOIN AuthID_FieldID ON AuthID_AffiliationID.AuthID = AuthID_FieldID.AuthID) JOIN FieldID_Topic ON AuthID_FieldID.FieldID = FieldID_Topic.FieldID) JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID) WHERE FieldID_Topic.Topic=""$Topic$"";"
What are the fields does the affiliates in the place $Place$ work on?,"SELECT DISTINCT FieldID_Topic.Topic FROM (((AuthID_AffiliationID JOIN AuthID_FieldID ON AuthID_AffiliationID.AuthID = AuthID_FieldID.AuthID) JOIN FieldID_Topic ON AuthID_FieldID.FieldID = FieldID_Topic.FieldID) JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID) WHERE AffiliationID_Place_Affiliation.Place=""$Place$"";"
List the affiliates with the number of authors working on the field $Topic$,"SELECT COUNT(DISTINCT AuthID_AffiliationID.AuthID),AffiliationID_Place_Affiliation.Affiliate FROM (((AuthID_AffiliationID JOIN AuthID_FieldID ON AuthID_AffiliationID.AuthID = AuthID_FieldID.AuthID) JOIN FieldID_Topic ON AuthID_FieldID.FieldID = FieldID_Topic.FieldID) JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID) WHERE FieldID_Topic.Topic=""$Topic$"" GROUP BY AffiliationID_Place_Affiliation.Affiliate;"
List the author from affiliate $Affiliate$ who work on the field $Topic$,"SELECT DISTINCT AuthID_Name.Name FROM ((((AuthID_AffiliationID JOIN AuthID_FieldID ON AuthID_AffiliationID.AuthID = AuthID_FieldID.AuthID) JOIN FieldID_Topic ON AuthID_FieldID.FieldID = FieldID_Topic.FieldID) JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID) JOIN AuthID_Name ON AuthID_Name.AuthID=AuthID_AffiliationID.AuthID)WHERE FieldID_Topic.Topic=""$Topic$"" AND AffiliationID_Place_Affiliation.Affiliate=""$Affiliate$"";"
List the authors who on the field $Topic$ and are from affiliate $Affiliate$,"SELECT DISTINCT AuthID_Name.Name FROM ((((AuthID_AffiliationID JOIN AuthID_FieldID ON AuthID_AffiliationID.AuthID = AuthID_FieldID.AuthID) JOIN FieldID_Topic ON AuthID_FieldID.FieldID = FieldID_Topic.FieldID) JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID) JOIN AuthID_Name ON AuthID_Name.AuthID=AuthID_AffiliationID.AuthID)WHERE FieldID_Topic.Topic=""$Topic$"" AND AffiliationID_Place_Affiliation.Affiliate=""$Affiliate$"";"
List the authors who on the field $Topic$ and are from affiliate in the place $Place$,"SELECT DISTINCT AuthID_Name.Name FROM ((((AuthID_AffiliationID JOIN AuthID_FieldID ON AuthID_AffiliationID.AuthID = AuthID_FieldID.AuthID) JOIN FieldID_Topic ON AuthID_FieldID.FieldID = FieldID_Topic.FieldID) JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID) JOIN AuthID_Name ON AuthID_Name.AuthID=AuthID_AffiliationID.AuthID)WHERE FieldID_Topic.Topic=""$Topic$"" AND AffiliationID_Place_Affiliation.Place=""$Place$"";"
List the title of the papers along with their summaries.,"SELECT PaperID_Title.Title, PaperID_Summary.Summary FROM PaperID_Title JOIN PaperID_Summary ON PaperID_Title.PaperID=PaperID_Summary.PaperID"
List the Author IDs along with the title of their research papers.,"SELECT PaperID_AuthID.AuthID, PaperID_Title.Title FROM PaperID_AuthID JOIN PaperID_Title ON PaperID_Title.PaperID=PaperID_AuthID.PaperID"
List the title of the papers published by the author with the Author ID $AuthID$.,"SELECT PaperID_AuthID.AuthID, PaperID_Title.Title FROM PaperID_AuthID JOIN PaperID_Title ON PaperID_Title.PaperID=PaperID_AuthID.PaperID WHERE PaperID_AuthID.AuthID=$AuthID$"
List the title of the papers published by $Name$.,SELECT PaperID_Title.Title FROM ((AuthID_Name JOIN PaperID_AuthID ON AuthID_Name.AuthID=PaperID_AuthID.AuthID) JOIN PaperID_Title ON PaperID_Title.PaperID=PaperID_AuthID.PaperID) WHERE AuthID_Name.Name=$Name$
List the titles along with the summaries of the papers published by $Name$,"SELECT PaperID_Title.Title, PaperID_Summary.Summary FROM (((AuthID_Name JOIN PaperID_AuthID ON AuthID_Name.AuthID=PaperID_AuthID.AuthID) JOIN PaperID_Title ON PaperID_Title.PaperID=PaperID_AuthID.PaperID) JOIN PaperID_Summary ON PaperID_Summary.PaperID=PaperID_Title.PaperID) WHERE AuthID_Name.Name=$Name$"
How many papers were published by $Name$?,SELECT COUNT(*) FROM ((AuthID_Name JOIN PaperID_AuthID ON AuthID_Name.AuthID=PaperID_AuthID.AuthID) JOIN PaperID_Title ON PaperID_Title.PaperID=PaperID_AuthID.PaperID) WHERE AuthID_Name.Name=$Name$
What is the name of the author who published the paper with paper ID $PaperID$?,SELECT AuthID_Name.Name FROM AuthID_Name JOIN PaperID_AuthID ON AuthID_Name.AuthID=PaperID_AuthID.AuthID WHERE PaperID_AuthID.PaperID=$PaperID$
List the name of the authors working in the field with field ID $FieldID$.,SELECT DISTINCT AuthID_Name.Name FROM AuthID_FieldID JOIN AuthID_Name ON AuthID_FieldID.AuthID=AuthID_Name.AuthID WHERE AuthID_FieldID.FieldID=$FieldID$
List the field IDs of the papers published by $Name$.,SELECT AuthID_FieldID.FieldID FROM AuthID_FieldID JOIN AuthID_Name ON AuthID_FieldID.AuthID=AuthID_Name.AuthID WHERE AuthID_Name.Name=$Name$
Which field topics do the papers published by $Name$ belong to?,SELECT FieldID_Topic.Topic FROM ((FieldID_Topic JOIN AuthID_FieldID ON FieldID_Topic.FieldID=AuthID_FieldID.FieldID) JOIN AuthID_Name ON AuthID_FieldID.AuthID=AuthID_Name.AuthID) WHERE AuthID_Name.Name=$Name$
List the title of the papers that come under the field topic $Topic$.,SELECT PaperID_Title.Title FROM (((PaperID_Title JOIN PaperID_AuthID ON PaperID_Title.PaperID=PaperID_AuthID.PaperID) JOIN AuthID_FieldID ON PaperID_AuthID.AuthID=AuthID_FieldID.AuthID) JOIN FieldID_Topic ON FieldID_Topic.FieldID=AuthID_FieldID.FieldID) WHERE FieldID_Topic.Topic=$Topic$
How many papers are published under the topic $Topic$?,SELECT COUNT(*) FROM (((PaperID_Title JOIN PaperID_AuthID ON PaperID_Title.PaperID=PaperID_AuthID.PaperID) JOIN AuthID_FieldID ON PaperID_AuthID.AuthID=AuthID_FieldID.AuthID) JOIN FieldID_Topic ON FieldID_Topic.FieldID=AuthID_FieldID.FieldID) WHERE FieldID_Topic.Topic=$Topic$
How many authors have published under the topic $Topic$?,SELECT COUNT(*) FROM AuthID_FieldID JOIN AuthID_Name ON AuthID_FieldID.AuthID=AuthID_Name.AuthID WHERE AuthID_FieldID.FieldID=$FieldID$
List the title of the papers that come under the field with field ID $FieldID$.,SELECT PaperID_Title.Title FROM ((PaperID_Title JOIN PaperID_AuthID ON PaperID_Title.PaperID=PaperID_AuthID.PaperID) JOIN AuthID_FieldID ON PaperID_AuthID.AuthID=AuthID_FieldID.AuthID) WHERE AuthID_FieldID.FieldID=$FieldID$
How many papers have been published under the field ID $FieldID$?,SELECT COUNT(*) FROM ((PaperID_Title JOIN PaperID_AuthID ON PaperID_Title.PaperID=PaperID_AuthID.PaperID) JOIN AuthID_FieldID ON PaperID_AuthID.AuthID=AuthID_FieldID.AuthID) WHERE AuthID_FieldID.FieldID=$FieldID$
List the name of the authors of papers with the field ID $FieldID$.,SELECT DISTINCT(AuthID_Name.Name) FROM ((AuthID_Name JOIN PaperID_AuthID ON AuthID_Name.AuthID=PaperID_AuthID.AuthID) JOIN AuthID_FieldID ON PaperID_AuthID.AuthID=AuthID_FieldID.AuthID) WHERE AuthID_FieldID.FieldID=$FieldID$
List the field topics that the paper with the ID $PaperID$.,SELECT FieldID_Topic.Topic FROM ((PaperID_AuthID JOIN AuthID_FieldID ON PaperID_AuthID.AuthID=AuthID_FieldID.AuthID) JOIN FieldID_Topic ON AuthID_FieldID.FieldID=FieldID_Topic.FieldID) WHERE PaperID=$PaperID$
List the Paper IDs that fall under the field ID $FieldID$.,SELECT PaperID_AuthID.PaperID FROM PaperID_AuthID JOIN AuthID_FieldID ON PaperID_AuthID.AuthID=AuthID_FieldID.AuthID WHERE AuthID_FieldID.FieldID=$FieldID$
How many papers are published in the field with field ID $FieldID$?,SELECT COUNT(*) FROM PaperID_AuthID JOIN AuthID_FieldID ON PaperID_AuthID.AuthID=AuthID_FieldID.AuthID WHERE AuthID_FieldID.FieldID=$FieldID$
Who wrote the paper with the title $Title$?,"SELECT AuthID_Name.AuthID, AuthID_Name.Name, PaperID_Title.PaperID, PaperID_Title.Title From AuthID_Name JOIN PaperID_AuthID ON PaperID_AuthID.AuthID=AuthID_Name.AuthID JOIN PaperID_Title on PaperID_AuthID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title=$Title$"
Give summary of paper $Title$,SELECT PaperID_Summary.Summary FROM PaperID_Summary JOIN PaperID_Title ON PaperID_Title.PaperID=PaperID_Summary.PaperID WHERE PaperID_Title.Title LIKE '$Title$'
List all the conferences on field $Topic$,"SELECT ConfID_Venue_Year.ConfID,ConfID_Venue_Year.Venue,ConfID_Venue_Year.Year FROM ConfID_Venue_Year JOIN ConfID_FieldID ON ConfID_Venue_Year.ConfID = ConfID_FieldID.ConfID JOIN FieldID_Topic ON ConfID_FieldID.FieldID=FieldID_Topic.FieldID Where FieldID_Topic.Topic Like $Topic$"
Count all conferences on the field $Topic $,SELECT COUNT (*) FROM ConfID_Venue_Year JOIN ConfID_FieldID ON ConfID_Venue_Year.ConfID = ConfID_FieldID.ConfID JOIN FieldID_Topic ON ConfID_FieldID.FieldID=FieldID_Topic.FieldID Where FieldID_Topic.Topic Like $Topic$ 
Venues of the conferences where paper with title $Title$ was Published,SELECT ConfID_Venue_Year.ConfID FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_Venue_Year.ConfID = ConfID_PaperID.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID Where PaperID_Title.Title LIKE '$Title$' 
List all the years in which conferences on field $Topic$ were held.,SELECT ConfID_Venue_Year.Year FROM ConfID_Venue_Year JOIN ConfID_FieldID ON ConfID_Venue_Year.ConfID = ConfID_FieldID.ConfID JOIN FieldID_Topic ON ConfID_FieldID.FieldID=FieldID_Topic.FieldID Where FieldID_Topic.Topic Like $Topic$
No of years in which conferneces on field $Topic$ were held.,SELECT COUNT (*) FROM ConfID_Venue_Year JOIN ConfID_FieldID ON ConfID_Venue_Year.ConfID = ConfID_FieldID.ConfID JOIN FieldID_Topic ON ConfID_FieldID.FieldID=FieldID_Topic.FieldID Where FieldID_Topic.Topic Like '$Topic'
list all the papers published in conference with ConfID $ConfID$,SELECT PaperID_Title.PaperID FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID = ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.ConfID LIKE '$ConfID$' 
No of papers published in conference  with ConfID $ConfID$,SELECT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID = ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.ConfID LIKE '%C-14%' 
list all the papers published in conferences at venue $Venue$,SELECT PaperID_Title.PaperID FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID = ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Venue LIKE '$Venue$' 
Count papers published in conferences at venue $Venue$,SELECT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID = ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Venue LIKE '%E$Venue$%'
Field corresponding to conference $ConfID$,SELECT FieldID_Topic.Topic FROM FieldID_Topic JOIN ConfID_FieldID ON ConfID_FieldID.FieldID = FieldID_Topic.FieldID WHERE ConfID = '$ConfID$' 
List all the papers released in year $Year$,SELECT PaperID_Title.PaperID FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID = ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year = '$Year$' 
